Unnamed: 0,sentence,question,set_id,sent_type,quest_type,correct_answer,incorrect_answer,noun_subj_gp,verb_gp,noun_subj_no_gp,verb_no_gp
0,While the secretary typed the memo neared completion.,Did the memo near completion?,set_10,GP_prob,simple_question,Yes,No,secretary,typed,memo,neared
1,While the secretary typed the memo neared completion.,Did the secretary type the memo?,set_10,GP_prob,GP_question,No,Yes,secretary,typed,memo,neared
2,While the secretary typed the drawing neared completion.,Did the drawing near completion?,set_10,GP_improb,simple_question,Yes,No,secretary,typed,drawing,neared
3,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,set_10,GP_improb,GP_question,No,Yes,secretary,typed,drawing,neared
4,The memo neared completion while the secretary typed.,Did the memo near completion?,set_10,nonGP_prob,simple_question,Yes,No,secretary,typed,memo,neared
5,The memo neared completion while the secretary typed.,Did the secretary type the memo?,set_10,nonGP_prob,GP_question,No,Yes,secretary,typed,memo,neared
6,The drawing neared completion while the secretary typed.,Did the drawing near completion?,set_10,nonGP_improb,simple_question,Yes,No,secretary,typed,drawing,neared
7,The drawing neared completion while the secretary typed.,Did the secretary type the drawing?,set_10,nonGP_improb,GP_question,No,Yes,secretary,typed,drawing,neared
8,While the explorer paddled the canoe headed toward a waterfall.,Did the canoe head toward a waterfall?,set_11,GP_prob,simple_question,Yes,No,explorer,paddled,canoe,headed
9,While the explorer paddled the canoe headed toward a waterfall.,Did the explorer paddle the canoe?,set_11,GP_prob,GP_question,No,Yes,explorer,paddled,canoe,headed
10,While the explorer paddled the yacht headed toward a waterfall.,Did the yacht head toward a waterfall?,set_11,GP_improb,simple_question,Yes,No,explorer,paddled,yacht,headed
11,While the explorer paddled the yacht headed toward a waterfall.,Did the explorer paddle the yacht?,set_11,GP_improb,GP_question,No,Yes,explorer,paddled,yacht,headed
12,The canoe headed toward a waterfall while the explorer paddled.,Did the canoe head toward a waterfall?,set_11,nonGP_prob,simple_question,Yes,No,explorer,paddled,canoe,headed
13,The canoe headed toward a waterfall while the explorer paddled.,Did the explorer paddle the canoe?,set_11,nonGP_prob,GP_question,No,Yes,explorer,paddled,canoe,headed
14,The yacht headed toward a waterfall while the explorer paddled.,Did the yacht head toward a waterfall?,set_11,nonGP_improb,simple_question,Yes,No,explorer,paddled,yacht,headed
15,The yacht headed toward a waterfall while the explorer paddled.,Did the explorer paddle the yacht?,set_11,nonGP_improb,GP_question,No,Yes,explorer,paddled,yacht,headed
16,While the cowboy rode the horse sweated profusely.,Did the horse sweat profusely?,set_12,GP_prob,simple_question,Yes,No,cowboy,rode,horse,sweated
17,While the cowboy rode the horse sweated profusely.,Did the cowboy ride the horse?,set_12,GP_prob,GP_question,No,Yes,cowboy,rode,horse,sweated
18,While the cowboy rode the leopard sweated profusely.,Did the leopard sweat profusely?,set_12,GP_improb,simple_question,Yes,No,cowboy,rode,leopard,sweated
19,While the cowboy rode the leopard sweated profusely.,Did the cowboy ride the leopard?,set_12,GP_improb,GP_question,No,Yes,cowboy,rode,leopard,sweated
20,The horse sweated profusely while the cowboy rode.,Did the horse sweat profusely?,set_12,nonGP_prob,simple_question,Yes,No,cowboy,rode,horse,sweated
21,The horse sweated profusely while the cowboy rode.,Did the cowboy ride the horse?,set_12,nonGP_prob,GP_question,No,Yes,cowboy,rode,horse,sweated
22,The leopard sweated profusely while the cowboy rode.,Did the leopard sweat profusely?,set_12,nonGP_improb,simple_question,Yes,No,cowboy,rode,leopard,sweated
23,The leopard sweated profusely while the cowboy rode.,Did the cowboy ride the leopard?,set_12,nonGP_improb,GP_question,No,Yes,cowboy,rode,leopard,sweated
24,While Tom grilled the hot dog began to burn.,Did the hot dog begin to burn?,set_13,GP_prob,simple_question,Yes,No,Tom,grilled,hot dog,burn
25,While Tom grilled the hot dog began to burn.,Did Tom grill the hot dog?,set_13,GP_prob,GP_question,No,Yes,Tom,grilled,hot dog,burn
26,While Tom grilled the barn began to burn.,Did the barn begin to burn?,set_13,GP_improb,simple_question,Yes,No,Tom,grilled,barn,burn
27,While Tom grilled the barn began to burn.,Did Tom grill the barn?,set_13,GP_improb,GP_question,No,Yes,Tom,grilled,barn,burn
28,The hot dog began to burn while Tom grilled.,Did the hot dog begin to burn?,set_13,nonGP_prob,simple_question,Yes,No,Tom,grilled,hot dog,began
29,The hot dog began to burn while Tom grilled.,Did Tom grill the hot dog?,set_13,nonGP_prob,GP_question,No,Yes,Tom,grilled,hot dog,began
30,The barn began to burn while Tom grilled.,Did the barn begin to burn?,set_13,nonGP_improb,simple_question,Yes,No,Tom,grilled,barn,began
31,The barn began to burn while Tom grilled.,Did Tom grill the barn?,set_13,nonGP_improb,GP_question,No,Yes,Tom,grilled,barn,began
32,While the architect drew the building represented modern times style.,Did the building represent modern time style?,set_14,GP_prob,simple_question,Yes,No,architect,drew,building,represented
33,While the architect drew the building represented modern times style.,Did the architect draw the building?,set_14,GP_prob,GP_question,No,Yes,architect,drew,building,represented
34,While the architect drew the melody represented modern times style.,Did the melody represent modern time style?,set_14,GP_improb,simple_question,Yes,No,architect,drew,melody,represented
35,While the architect drew the melody represented modern times style.,Did the architect draw the melody?,set_14,GP_improb,GP_question,No,Yes,architect,drew,melody,represented
36,The building represented modern times style while the architect drew.,Did the building represent modern time style?,set_14,nonGP_prob,simple_question,Yes,No,architect,drew,building,represented
37,The building represented modern times style while the architect drew.,Did the architect draw the building?,set_14,nonGP_prob,GP_question,No,Yes,architect,drew,building,represented
38,The melody represented modern times style while the architect drew.,Did the melody represent modern time style?,set_14,nonGP_improb,simple_question,Yes,No,architect,drew,melody,represented
39,The melody represented modern times style while the architect drew.,Did the architect draw the melody?,set_14,nonGP_improb,GP_question,No,Yes,architect,drew,melody,represented
40,While the chef stirred the soup boiled over.,Did the soup boil over?,set_15,GP_prob,simple_question,Yes,No,chef,stirred,soup,boiled
41,While the chef stirred the soup boiled over.,Did the chef stir the soup?,set_15,GP_prob,GP_question,No,Yes,chef,stirred,soup,boiled
42,While the chef stirred the acid boiled over.,Did the acid boil over?,set_15,GP_improb,simple_question,Yes,No,chef,stirred,acid,boiled
43,While the chef stirred the acid boiled over.,Did the chef stir the acid?,set_15,GP_improb,GP_question,No,Yes,chef,stirred,acid,boiled
44,The soup boiled over while the chef stirred.,Did the soup boil over?,set_15,nonGP_prob,simple_question,Yes,No,chef,stirred,soup,boiled
45,The soup boiled over while the chef stirred.,Did the chef stir the soup?,set_15,nonGP_prob,GP_question,No,Yes,chef,stirred,soup,boiled
46,The acid boiled over while the chef stirred.,Did the acid boil over?,set_15,nonGP_improb,simple_question,Yes,No,chef,stirred,acid,boiled
47,The acid boiled over while the chef stirred.,Did the chef stir the acid?,set_15,nonGP_improb,GP_question,No,Yes,chef,stirred,acid,boiled
48,While the tourist explored the tunnel echoed with mysterious sounds.,Did the tunnel echo with mysterious sounds?,set_16,GP_prob,simple_question,Yes,No,tourist,explored,tunnel,echoed
49,While the tourist explored the tunnel echoed with mysterious sounds.,Did the tourist explore the tunnel?,set_16,GP_prob,GP_question,No,Yes,tourist,explored,tunnel,echoed
50,While the tourist explored the trunk echoed with mysterious sounds.,Did the trunk echo with mysterious sounds?,set_16,GP_improb,simple_question,Yes,No,tourist,explored,trunk,echoed
51,While the tourist explored the trunk echoed with mysterious sounds.,Did the tourist explore the trunk?,set_16,GP_improb,GP_question,No,Yes,tourist,explored,trunk,echoed
52,The tunnel echoed with mysterious sounds while the tourist explored.,Did the tunnel echo with mysterious sounds?,set_16,nonGP_prob,simple_question,Yes,No,tourist,explored,tunnel,echoed
53,The tunnel echoed with mysterious sounds while the tourist explored.,Did the tourist explore the tunnel?,set_16,nonGP_prob,GP_question,No,Yes,tourist,explored,tunnel,echoed
54,The trunk echoed with mysterious sounds while the tourist explored.,Did the trunk echo with mysterious sounds?,set_16,nonGP_improb,simple_question,Yes,No,tourist,explored,trunk,echoed
55,The trunk echoed with mysterious sounds while the tourist explored.,Did the tourist explore the trunk?,set_16,nonGP_improb,GP_question,No,Yes,tourist,explored,trunk,echoed
56,While the woman drank the water spilled on the floor.,Did the water spill on the floor?,set_17,GP_prob,simple_question,Yes,No,woman,drank,water,spilled
57,While the woman drank the water spilled on the floor.,Did the woman drink the water?,set_17,GP_prob,GP_question,No,Yes,woman,drank,water,spilled
58,While the woman drank the mud spilled on the floor.,Did the mud spill on the floor?,set_17,GP_improb,simple_question,Yes,No,woman,drank,mud,spilled
59,While the woman drank the mud spilled on the floor.,Did the woman drink the mud?,set_17,GP_improb,GP_question,No,Yes,woman,drank,mud,spilled
60,The water spilled on the floor while the woman drank.,Did the water spill on the floor?,set_17,nonGP_prob,simple_question,Yes,No,woman,drank,water,spilled
61,The water spilled on the floor while the woman drank.,Did the woman drink the water?,set_17,nonGP_prob,GP_question,No,Yes,woman,drank,water,spilled
62,The mud spilled on the floor while the woman drank.,Did the mud spill on the floor?,set_17,nonGP_improb,simple_question,Yes,No,woman,drank,mud,spilled
63,The mud spilled on the floor while the woman drank.,Did the woman drink the mud?,set_17,nonGP_improb,GP_question,No,Yes,woman,drank,mud,spilled
64,While the snake swallowed the frog kicked vigorously.,Did the frog kick vigorously?,set_18,GP_prob,simple_question,Yes,No,snake,swallowed,frog,kicked
65,While the snake swallowed the frog kicked vigorously.,Did the snake swallow the frog?,set_18,GP_prob,GP_question,No,Yes,snake,swallowed,frog,kicked
66,While the snake swallowed the hippo kicked vigorously.,Did the hippo kick vigorously?,set_18,GP_improb,simple_question,Yes,No,snake,swallowed,hippo,kicked
67,While the snake swallowed the hippo kicked vigorously.,Did the snake swallow the hippo?,set_18,GP_improb,GP_question,No,Yes,snake,swallowed,hippo,kicked
68,The frog kicked vigorously while the snake swallowed.,Did the frog kick vigorously?,set_18,nonGP_prob,simple_question,Yes,No,snake,swallowed,frog,kicked
69,The frog kicked vigorously while the snake swallowed.,Did the snake swallow the frog?,set_18,nonGP_prob,GP_question,No,Yes,snake,swallowed,frog,kicked
70,The hippo kicked vigorously while the snake swallowed.,Did the hippo kick vigorously?,set_18,nonGP_improb,simple_question,Yes,No,snake,swallowed,hippo,kicked
71,The hippo kicked vigorously while the snake swallowed.,Did the snake swallow the hippo?,set_18,nonGP_improb,GP_question,No,Yes,snake,swallowed,hippo,kicked
72,While the lion attacked the baboon screamed in terror.,Did the baboon scream in terror?,set_19,GP_prob,simple_question,Yes,No,lion,attacked,baboon,screamed
73,While the lion attacked the baboon screamed in terror.,Did the lion attack the baboon?,set_19,GP_prob,GP_question,No,Yes,lion,attacked,baboon,screamed
74,While the lion attacked the penguin screamed in terror.,Did the penguin scream in terror?,set_19,GP_improb,simple_question,Yes,No,lion,attacked,penguin,screamed
75,While the lion attacked the penguin screamed in terror.,Did the lion attack the penguin?,set_19,GP_improb,GP_question,No,Yes,lion,attacked,penguin,screamed
76,The baboon screamed in terror while the lion attacked.,Did the baboon scream in terror?,set_19,nonGP_prob,simple_question,Yes,No,lion,attacked,baboon,screamed
77,The baboon screamed in terror while the lion attacked.,Did the lion attack the baboon?,set_19,nonGP_prob,GP_question,No,Yes,lion,attacked,baboon,screamed
78,The penguin screamed in terror while the lion attacked.,Did the penguin scream in terror?,set_19,nonGP_improb,simple_question,Yes,No,lion,attacked,penguin,screamed
79,The penguin screamed in terror while the lion attacked.,Did the lion attack the penguin?,set_19,nonGP_improb,GP_question,No,Yes,lion,attacked,penguin,screamed
80,While the maid dusted the picture tipped over.,Did the picture tip over?,set_20,GP_prob,simple_question,Yes,No,maid,dusted,picture,tipped
81,While the maid dusted the picture tipped over.,Did the maid dust the picture?,set_20,GP_prob,GP_question,No,Yes,maid,dusted,picture,tipped
82,While the maid dusted the cow tipped over.,Did the cow tip over?,set_20,GP_improb,simple_question,Yes,No,maid,dusted,cow,tipped
83,While the maid dusted the cow tipped over.,Did the maid dust the cow?,set_20,GP_improb,GP_question,No,Yes,maid,dusted,cow,tipped
84,The picture tipped over while the maid dusted.,Did the picture tip over?,set_20,nonGP_prob,simple_question,Yes,No,maid,dusted,picture,tipped
85,The picture tipped over while the maid dusted.,Did the maid dust the picture?,set_20,nonGP_prob,GP_question,No,Yes,maid,dusted,picture,tipped
86,The cow tipped over while the maid dusted.,Did the cow tip over?,set_20,nonGP_improb,simple_question,Yes,No,maid,dusted,cow,tipped
87,The cow tipped over while the maid dusted.,Did the maid dust the cow?,set_20,nonGP_improb,GP_question,No,Yes,maid,dusted,cow,tipped
88,While the teacher counted the children formed a line.,Did the children form a line?,set_21,GP_prob,simple_question,Yes,No,teacher,counted,children,formed
89,While the teacher counted the children formed a line.,Did the teacher count the children?,set_21,GP_prob,GP_question,No,Yes,teacher,counted,children,formed
90,While the teacher counted the ants formed a line.,Did the ants form a line?,set_21,GP_improb,simple_question,Yes,No,teacher,counted,ants,formed
91,While the teacher counted the ants formed a line.,Did the teacher count the ants?,set_21,GP_improb,GP_question,No,Yes,teacher,counted,ants,formed
92,The children formed a line while the teacher counted.,Did the children form a line?,set_21,nonGP_prob,simple_question,Yes,No,teacher,counted,children,formed
93,The children formed a line while the teacher counted.,Did the teacher count the children?,set_21,nonGP_prob,GP_question,No,Yes,teacher,counted,children,formed
94,The ants formed a line while the teacher counted.,Did the ants form a line?,set_21,nonGP_improb,simple_question,Yes,No,teacher,counted,ants,formed
95,The ants formed a line while the teacher counted.,Did the teacher count the ants?,set_21,nonGP_improb,GP_question,No,Yes,teacher,counted,ants,formed
96,While the champion raced the challenger stumbled and fell.,Did the challenger stumble and fall?,set_22,GP_prob,simple_question,Yes,No,champion,raced,challenger,stumbled
97,While the champion raced the challenger stumbled and fell.,Did the champion race the challenger?,set_22,GP_prob,GP_question,No,Yes,champion,raced,challenger,stumbled
98,While the champion raced the spectator stumbled and fell.,Did the spectator stumble and fall?,set_22,GP_improb,simple_question,Yes,No,champion,raced,spectator,stumbled
99,While the champion raced the spectator stumbled and fell.,Did the champion race the spectator?,set_22,GP_improb,GP_question,No,Yes,champion,raced,spectator,stumbled
100,The challenger stumbled and fell while the champion raced.,Did the challenger stumble and fall?,set_22,nonGP_prob,simple_question,Yes,No,champion,raced,challenger,stumbled
101,The challenger stumbled and fell while the champion raced.,Did the champion race the challenger?,set_22,nonGP_prob,GP_question,No,Yes,champion,raced,challenger,stumbled
102,The spectator stumbled and fell while the champion raced.,Did the spectator stumble and fall?,set_22,nonGP_improb,simple_question,Yes,No,champion,raced,spectator,stumbled
103,The spectator stumbled and fell while the champion raced.,Did the champion race the spectator?,set_22,nonGP_improb,GP_question,No,Yes,champion,raced,spectator,stumbled
104,While Jerry played the violin went out of tune.,Did the violin go out of tune?,set_23,GP_prob,simple_question,Yes,No,Jerry,played,violin,went
105,While Jerry played the violin went out of tune.,Did Jerry play the violin?,set_23,GP_prob,GP_question,No,Yes,Jerry,played,violin,went
106,While Jerry played the speakers went out of tune.,Did the speakers go out of tune?,set_23,GP_improb,simple_question,Yes,No,Jerry,played,speakers,went
107,While Jerry played the speakers went out of tune.,Did Jerry play the speakers?,set_23,GP_improb,GP_question,No,Yes,Jerry,played,speakers,went
108,The violin went out of tune while jerry played.,Did the violin go out of tune?,set_23,nonGP_prob,simple_question,Yes,No,jerry,played,violin,went
109,The violin went out of tune while jerry played.,Did Jerry play the violin?,set_23,nonGP_prob,GP_question,No,Yes,jerry,played,violin,went
110,The speakers went out of tune while jerry played.,Did the speakers go out of tune?,set_23,nonGP_improb,simple_question,Yes,No,jerry,played,speakers,went
111,The speakers went out of tune while jerry played.,Did Jerry play the speakers?,set_23,nonGP_improb,GP_question,No,Yes,jerry,played,speakers,went
112,While the girl painted the rainbow slowly faded outside.,Did the rainbow slowly fade outside?,set_24,GP_prob,simple_question,Yes,No,girl,painted,rainbow,faded
113,While the girl painted the rainbow slowly faded outside.,Did the girl paint the rainbow?,set_24,GP_prob,GP_question,No,Yes,girl,painted,rainbow,faded
114,While the girl painted the music slowly faded outside.,Did the music slowly fade outside?,set_24,GP_improb,simple_question,Yes,No,girl,painted,music,faded
115,While the girl painted the music slowly faded outside.,Did the girl paint the music?,set_24,GP_improb,GP_question,No,Yes,girl,painted,music,faded
116,The rainbow slowly faded outside while the girl painted.,Did the rainbow slowly fade outside?,set_24,nonGP_prob,simple_question,Yes,No,girl,painted,rainbow,faded
117,The rainbow slowly faded outside while the girl painted.,Did the girl paint the rainbow?,set_24,nonGP_prob,GP_question,No,Yes,girl,painted,rainbow,faded
118,The music slowly faded outside while the girl painted.,Did the music slowly fade outside?,set_24,nonGP_improb,simple_question,Yes,No,girl,painted,music,faded
119,The music slowly faded outside while the girl painted.,Did the girl paint the music?,set_24,nonGP_improb,GP_question,No,Yes,girl,painted,music,faded
120,While Kendra parked the van bumped the curb.,Did the van bump the curb?,set_25,GP_prob,simple_question,Yes,No,Kendra,parked,van,bumped
121,While Kendra parked the van bumped the curb.,Did Kendra park the van?,set_25,GP_prob,GP_question,No,Yes,Kendra,parked,van,bumped
122,While Kendra parked the horse bumped the curb.,Did the horse bump the curb?,set_25,GP_improb,simple_question,Yes,No,Kendra,parked,horse,bumped
123,While Kendra parked the horse bumped the curb.,Did Kendra park the horse?,set_25,GP_improb,GP_question,No,Yes,Kendra,parked,horse,bumped
124,The van bumped the curb while Kendra parked.,Did the van bump the curb?,set_25,nonGP_prob,simple_question,Yes,No,Kendra,parked,van,bumped
125,The van bumped the curb while Kendra parked.,Did Kendra park the van?,set_25,nonGP_prob,GP_question,No,Yes,Kendra,parked,van,bumped
126,The horse bumped the curb while Kendra parked.,Did the horse bump the curb?,set_25,nonGP_improb,simple_question,Yes,No,Kendra,parked,horse,bumped
127,The horse bumped the curb while Kendra parked.,Did Kendra park the horse?,set_25,nonGP_improb,GP_question,No,Yes,Kendra,parked,horse,bumped
128,While Angela cleaned the dog stood in the yard.,Did the dog stand in the yard?,set_26,GP_prob,simple_question,Yes,No,Angela,cleaned,dog,stood
129,While Angela cleaned the dog stood in the yard.,Did Angela clean the dog?,set_26,GP_prob,GP_question,No,Yes,Angela,cleaned,dog,stood
130,While Angela cleaned the mailman stood in the yard.,Did the mailman stand in the yard?,set_26,GP_improb,simple_question,Yes,No,Angela,cleaned,mailman,stood
131,While Angela cleaned the mailman stood in the yard.,Did Angela clean the mailman?,set_26,GP_improb,GP_question,No,Yes,Angela,cleaned,mailman,stood
132,The dog stood in the yard while Angela cleaned.,Did the dog stand in the yard?,set_26,nonGP_prob,simple_question,Yes,No,Angela,cleaned,dog,stood
133,The dog stood in the yard while Angela cleaned.,Did Angela clean the dog?,set_26,nonGP_prob,GP_question,No,Yes,Angela,cleaned,dog,stood
134,The mailman stood in the yard while Angela cleaned.,Did the mailman stand in the yard?,set_26,nonGP_improb,simple_question,Yes,No,Angela,cleaned,mailman,stood
135,The mailman stood in the yard while Angela cleaned.,Did Angela clean the mailman?,set_26,nonGP_improb,GP_question,No,Yes,Angela,cleaned,mailman,stood
136,While the sailor smoked the pipe glowed brightly.,Did the pipe glow brightly?,set_27,GP_prob,simple_question,Yes,No,sailor,smoked,pipe,glowed
137,While the sailor smoked the pipe glowed brightly.,Did the sailor smoke the pipe?,set_27,GP_prob,GP_question,No,Yes,sailor,smoked,pipe,glowed
138,While the sailor smoked the firefly glowed brightly.,Did the firefly glow brightly?,set_27,GP_improb,simple_question,Yes,No,sailor,smoked,firefly,glowed
139,While the sailor smoked the firefly glowed brightly.,Did the sailor smoke the firefly?,set_27,GP_improb,GP_question,No,Yes,sailor,smoked,firefly,glowed
140,The pipe glowed brightly while the sailor smoked.,Did the pipe glow brightly?,set_27,nonGP_prob,simple_question,Yes,No,sailor,smoked,pipe,glowed
