,model,sentence,correct,txt,sent_type
0,Qwen/Qwen2.5-0.5B,While the secretary typed the memo neared completion.,False,"1. While the secretary typed the memo neared completion.
2. The memo was typed.",GP_prob
1,Qwen/Qwen2.5-0.5B,While the secretary typed the drawing neared completion.,True,"1. While the secretary typed the drawing neared completion.
2. The drawing neared completion.",GP_prob
2,Qwen/Qwen2.5-0.5B,While the explorer paddled the canoe headed toward a waterfall.,False,"1. While the explorer paddled the canoe headed toward a waterfall.
2. The explorer paddled the canoe headed toward a waterfall.",GP_prob
3,Qwen/Qwen2.5-0.5B,While the explorer paddled the yacht headed toward a waterfall.,False,"1. While the explorer paddled the yacht headed toward a waterfall.
2. The explorer paddled the yacht headed toward a waterfall.",GP_prob
4,Qwen/Qwen2.5-0.5B,While the cowboy rode the horse sweated profusely.,False,"1. While the cowboy rode the horse sweated profusely.
2. The cowboy rode the horse sweated profusely. endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile",GP_prob
5,Qwen/Qwen2.5-0.5B,While the cowboy rode the leopard sweated profusely.,False,"1. While the cowboy rode the leopard sweated profusely.
2. The leopard sweated profusely while the cowboy rode.戥
戥assistant

Splitted:
1. While the cowboy rode the leopard sweated profusely.
2. The leopard sweated profusely while the cowboy rode.戥assistant

Splitted:
1. While the cowboy rode the leopard sweated profusely.
2. The leopard sweated profusely while the cowboy rode.戥assistant",GP_prob
6,Qwen/Qwen2.5-0.5B,While Tom grilled the hot dog began to burn.,True,"1. While Tom grilled the hot dog began to burn.
2. The hot dog began to burn.",GP_prob
7,Qwen/Qwen2.5-0.5B,While Tom grilled the barn began to burn.,False,"1. While Tom grilled the barn began to burn.
2. The barn began to burn while Tom grilled.戥",GP_prob
8,Qwen/Qwen2.5-0.5B,While the architect drew the building represented modern times style.,False,"1. While the architect drew the building represented modern times style.
2. The architect drew the building represented modern times style.",GP_prob
9,Qwen/Qwen2.5-0.5B,While the architect drew the melody represented modern times style.,False,"1. While the architect drew the melody represented modern times style.
2. The architect drew the melody represented modern times style.",GP_prob
10,Qwen/Qwen2.5-0.5B,While the chef stirred the soup boiled over.,True,"1. While the chef stirred the soup boiled over.
2. The soup boiled over.",GP_prob
11,Qwen/Qwen2.5-0.5B,While the chef stirred the acid boiled over.,True,"1. While the chef stirred the acid boiled over.
2. The acid boiled over.",GP_prob
12,Qwen/Qwen2.5-0.5B,While the tourist explored the tunnel echoed with mysterious sounds.,False,"1. While the tourist explored the tunnel echoed with mysterious sounds.
2. The tunnel echoed with mysterious sounds while the tourist explored.",GP_prob
13,Qwen/Qwen2.5-0.5B,While the tourist explored the trunk echoed with mysterious sounds.,False,"1. While the tourist explored the trunk echoed with mysterious sounds.
2. The trunk echoed with mysterious sounds while the tourist explored.",GP_prob
14,Qwen/Qwen2.5-0.5B,While the woman drank the water spilled on the floor.,True,"1. While the woman drank the water spilled on the floor.
2. The water spilled on the floor.",GP_prob
15,Qwen/Qwen2.5-0.5B,While the woman drank the mud spilled on the floor.,True,"1. While the woman drank the mud spilled on the floor.
2. The mud spilled on the floor.",GP_prob
16,Qwen/Qwen2.5-0.5B,While the snake swallowed the frog kicked vigorously.,False,"1. While the snake swallowed the frog kicked vigorously.
2. The frog kicked vigorously while the snake swallowed the frog.戥",GP_prob
17,Qwen/Qwen2.5-0.5B,While the snake swallowed the hippo kicked vigorously.,False,"1. While the snake swallowed the hippo
2. kicked vigorously",GP_prob
18,Qwen/Qwen2.5-0.5B,While the lion attacked the baboon screamed in terror.,False,"1. While the lion attacked the baboon screamed in terror.
2. The baboon screamed in terror while the lion attacked.戥",GP_prob
19,Qwen/Qwen2.5-0.5B,While the lion attacked the penguin screamed in terror.,False,"1. While the lion attacked the penguin screamed in terror.
2. The lion attacked the penguin screamed in terror.",GP_prob
20,Qwen/Qwen2.5-0.5B,While the maid dusted the picture tipped over.,True,"1. While the maid dusted the picture tipped over.
2. The picture tipped over.",GP_prob
21,Qwen/Qwen2.5-0.5B,While the maid dusted the cow tipped over.,False,"1. While the maid dusted the cow tipped over.
2. The maid dusted the cow tipped over.",GP_prob
22,Qwen/Qwen2.5-0.5B,While the teacher counted the children formed a line.,False,"1. While the teacher counted the children formed a line.
2. The teacher counted the children formed a line. endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile
 endwhile",GP_prob
