,model,sentence,question,correct,incorrect,prompt_index,base_correct,base_incorrect,sent_type,quest_type
0,google/gemma-2-27b,While the secretary typed the memo neared completion.,Did the memo near completion?,0.0614982776376553,0.9385018360407889,0,1.6687507111579764e-06,2.54661695916035e-05,GP_prob,simple_question
1,google/gemma-2-27b,While the secretary typed the memo neared completion.,Did the memo near completion?,0.0406865646547274,0.9593134328127892,1,2.077065273230086e-06,4.8973330551369297e-05,GP_prob,simple_question
2,google/gemma-2-27b,While the secretary typed the memo neared completion.,Did the memo near completion?,0.0557873180358936,0.9442127100835412,2,1.3779404810737128e-06,2.332194675712791e-05,GP_prob,simple_question
3,google/gemma-2-27b,While the secretary typed the memo neared completion.,Did the memo near completion?,0.0422390347561556,0.9577609467979636,3,1.9467917093472624e-06,4.4143079127267246e-05,GP_prob,simple_question
4,google/gemma-2-27b,While the secretary typed the memo neared completion.,Did the memo near completion?,0.0765768189073075,0.9234232576881288,4,1.4762399207415014e-06,1.7801658407829272e-05,GP_prob,simple_question
5,google/gemma-2-27b,While the secretary typed the memo neared completion.,Did the memo near completion?,0.0384345290611838,0.9615654462995428,5,1.960020368201661e-06,4.90363200153039e-05,GP_prob,simple_question
6,google/gemma-2-27b,While the secretary typed the memo neared completion.,Did the memo near completion?,0.0390289492541691,0.96097109489817,6,1.2873142731387389e-06,3.169626237941175e-05,GP_prob,simple_question
7,google/gemma-2-27b,While the secretary typed the memo neared completion.,Did the memo near completion?,0.0388577560026677,0.96114231506729,7,2.185313163467523e-06,5.405347865387019e-05,GP_prob,simple_question
8,google/gemma-2-27b,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.8674897311926475,0.1325102996100202,0,1.1444054460137406e-05,1.748095878457528e-06,GP_prob,GP_question
9,google/gemma-2-27b,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.6972826845352948,0.3027173804148759,1,1.0560704471137313e-05,4.584809676749443e-06,GP_prob,GP_question
10,google/gemma-2-27b,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.7577037189328922,0.2422961691383847,2,6.009192395093565e-06,1.921601148328705e-06,GP_prob,GP_question
11,google/gemma-2-27b,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.7290866094426114,0.2709134538851856,3,1.087665090122581e-05,4.041537695963909e-06,GP_prob,GP_question
12,google/gemma-2-27b,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.7186093187868996,0.2813906953174374,4,4.460382742012193e-06,1.7465820115197415e-06,GP_prob,GP_question
13,google/gemma-2-27b,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.633341156340099,0.3666588832196424,5,7.841055661106602e-06,4.539406258538981e-06,GP_prob,GP_question
14,google/gemma-2-27b,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.8761450313896737,0.1238549534899817,6,1.087836674563706e-05,1.5378043703681598e-06,GP_prob,GP_question
15,google/gemma-2-27b,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.7028687042465914,0.2971312951870288,7,1.1477114267044405e-05,4.851844550051799e-06,GP_prob,GP_question
16,google/gemma-2-27b,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.0518856674084786,0.9481144391169524,0,9.91338267952919e-07,1.811486978444538e-05,GP_improb,simple_question
17,google/gemma-2-27b,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.0305917344034791,0.96940830906992,1,1.2561300344382032e-06,3.980496182543818e-05,GP_improb,simple_question
18,google/gemma-2-27b,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.0850008969645763,0.9149991603931824,2,1.2423013745852194e-06,1.3372856085584636e-05,GP_improb,simple_question
19,google/gemma-2-27b,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.0391492206783947,0.9608506731177596,3,1.2427757343212606e-06,3.050180339354909e-05,GP_improb,simple_question
20,google/gemma-2-27b,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.0740836149921828,0.9259163252882894,4,1.0381679325439618e-06,1.2975293090348858e-05,GP_improb,simple_question
21,google/gemma-2-27b,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.0422451394541392,0.957754921954192,5,1.2941401882619506e-06,2.9339924057543565e-05,GP_improb,simple_question
22,google/gemma-2-27b,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.0381965701992099,0.9618034475414388,6,7.627130060521665e-07,1.920538947778482e-05,GP_improb,simple_question
23,google/gemma-2-27b,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.0188212268003566,0.9811786903974072,7,9.393592000868286e-07,4.897020078265395e-05,GP_improb,simple_question
24,google/gemma-2-27b,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.9905207184888488,0.0094792227184561,0,3.691008371147597e-05,3.53227252508e-07,GP_improb,GP_question
25,google/gemma-2-27b,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.9928878304906816,0.0071122526184783,1,7.296587330199195e-05,5.226690327112226e-07,GP_improb,GP_question
26,google/gemma-2-27b,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.9827859850245052,0.0172140008879692,2,2.573577630995345e-05,4.5077535770105387e-07,GP_improb,GP_question
27,google/gemma-2-27b,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.9854532464975916,0.0145467670816421,3,5.171713773157458e-05,7.634224606340337e-07,GP_improb,GP_question
28,google/gemma-2-27b,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.9788078993103108,0.0211920224104706,4,2.206241236883875e-05,4.776699688784799e-07,GP_improb,GP_question
29,google/gemma-2-27b,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.9930456958890536,0.0069543673867402,5,6.427300164784905e-05,4.501082712210064e-07,GP_improb,GP_question
30,google/gemma-2-27b,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.993009892900578,0.0069900209040602,6,4.028772224317099e-05,2.835943769899292e-07,GP_improb,GP_question
31,google/gemma-2-27b,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.9972455180580692,0.0027545931540712,7,7.407569453776435e-05,2.0461201669801882e-07,GP_improb,GP_question
32,google/gemma-2-27b,The memo neared completion while the secretary typed.,Did the memo near completion?,0.1315007246794763,0.8684992877545319,0,2.761211546698016e-06,1.8236479169220923e-05,nonGP_prob,simple_question
33,google/gemma-2-27b,The memo neared completion while the secretary typed.,Did the memo near completion?,0.0822953614958716,0.9177046302434242,1,2.59488548593937e-06,2.89364822753612e-05,nonGP_prob,simple_question
34,google/gemma-2-27b,The memo neared completion while the secretary typed.,Did the memo near completion?,0.20504540648108,0.7949544912259832,2,3.206692585683529e-06,1.2432244641095836e-05,nonGP_prob,simple_question
35,google/gemma-2-27b,The memo neared completion while the secretary typed.,Did the memo near completion?,0.1249742676081275,0.8750257642642035,3,2.9081486328918897e-06,2.036183278155305e-05,nonGP_prob,simple_question
36,google/gemma-2-27b,The memo neared completion while the secretary typed.,Did the memo near completion?,0.2573137310292885,0.7426862676727288,4,3.088747851185162e-06,8.915072431418385e-06,nonGP_prob,simple_question
37,google/gemma-2-27b,The memo neared completion while the secretary typed.,Did the memo near completion?,0.1281286899541207,0.8718712608245279,5,2.9512563660511696e-06,2.008227573813691e-05,nonGP_prob,simple_question
38,google/gemma-2-27b,The memo neared completion while the secretary typed.,Did the memo near completion?,0.1117786243316558,0.88822153293783,6,3.2058941194475286e-06,2.5474855082180904e-05,nonGP_prob,simple_question
39,google/gemma-2-27b,The memo neared completion while the secretary typed.,Did the memo near completion?,0.1287665109420892,0.8712334364977781,7,4.258875490013424e-06,2.8815525905955023e-05,nonGP_prob,simple_question
40,google/gemma-2-27b,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.843385532715367,0.1566143584593291,0,1.7244819428895224e-05,3.2023153073840443e-06,nonGP_prob,GP_question
41,google/gemma-2-27b,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.7764887376839185,0.2235113366921126,1,1.514039827587575e-05,4.3581448798163565e-06,nonGP_prob,GP_question
42,google/gemma-2-27b,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.8189068001892753,0.1810931829202982,2,1.2420267270152886e-05,2.7466196949993665e-06,nonGP_prob,GP_question
43,google/gemma-2-27b,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.7170735547468081,0.2829263898563141,3,1.096195337483198e-05,4.325115123206226e-06,nonGP_prob,GP_question
44,google/gemma-2-27b,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.6723663243312815,0.32763364031047,4,6.501292113101472e-06,3.1679787480706192e-06,nonGP_prob,GP_question
45,google/gemma-2-27b,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.6882138285137245,0.3117862233780215,5,1.0089325322091089e-05,4.5708360161310704e-06,nonGP_prob,GP_question
46,google/gemma-2-27b,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.7892176977507579,0.2107823558187718,6,1.1603045409518983e-05,3.0989135718453333e-06,nonGP_prob,GP_question
47,google/gemma-2-27b,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.6632577922953002,0.3367422618252362,7,1.3715263783608302e-05,6.963369560377113e-06,nonGP_prob,GP_question
48,google/gemma-2-27b,The drawing neared completion while the secretary typed.,Did the drawing near completion?,0.1296589817578644,0.8703408763442586,0,2.300743091194319e-06,1.5443826852338295e-05,nonGP_improb,simple_question
49,google/gemma-2-27b,The drawing neared completion while the secretary typed.,Did the drawing near completion?,0.0954594672830353,0.9045406325184526,1,2.7295297461858627e-06,2.586407002232389e-05,nonGP_improb,simple_question
