,model,sentence,question,correct,incorrect,prompt_index,base_correct,base_incorrect,sent_type,quest_type
0,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the memo near completion?,0.9402259625788929,0.05977405272813785,0,0.762394175612485,0.0484685514724128,GP_prob,simple_question
1,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the memo near completion?,0.9696944455405401,0.030305546663876193,1,0.8936965599266387,0.02793040790021406,GP_prob,simple_question
2,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the memo near completion?,0.9753202751091976,0.024679806950922423,2,0.7991755456289411,0.02022258621006645,GP_prob,simple_question
3,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the memo near completion?,0.9628971576780714,0.037102901455980275,3,0.8731938562425512,0.03364640179088685,GP_prob,simple_question
4,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the memo near completion?,0.9234312239257179,0.07656875475059888,4,0.7397053237583577,0.06133463471164635,GP_prob,simple_question
5,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the memo near completion?,0.988624416853213,0.011375540498606507,5,0.9109028173082265,0.010481242014517417,GP_prob,simple_question
6,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the memo near completion?,0.9811640212024031,0.018836091493667162,6,0.8092812898325974,0.015536337902974928,GP_prob,simple_question
7,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the memo near completion?,0.9687870477864635,0.031212904762039195,7,0.8964797215921863,0.028883267590440687,GP_prob,simple_question
8,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.08197545024048924,0.9180244858489459,0,0.06450238119836182,0.7223475491960016,GP_prob,GP_question
9,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.09802867784402647,0.9019713525954103,1,0.08578242688185966,0.7892924561347172,GP_prob,GP_question
10,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.09607548516925313,0.9039245020614999,2,0.07525031154175998,0.7079912420992969,GP_prob,GP_question
11,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.09553844533923872,0.9044614961164825,3,0.08126412440797992,0.7693266758342361,GP_prob,GP_question
12,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.06869915787013525,0.9313008754575094,4,0.05416652487099727,0.7342932678178613,GP_prob,GP_question
13,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.08975702004215602,0.9102430501926619,5,0.07884850114147834,0.7996176804817878,GP_prob,GP_question
14,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.0461628270630019,0.9538372197387162,6,0.03543027443448299,0.7320763286852525,GP_prob,GP_question
15,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.06758216499885705,0.9324177721681508,7,0.060565597530378046,0.8356115034894174,GP_prob,GP_question
16,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.989061883127647,0.010938225001917878,0,0.8183684778573479,0.009050493544157767,GP_improb,simple_question
17,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.9849558022218616,0.015044248619132117,1,0.9143081258043821,0.013965173270037767,GP_improb,simple_question
18,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.9858845423747198,0.014115420939386114,2,0.8168246446704188,0.011694902837219356,GP_improb,simple_question
19,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.9902735538962588,0.009726515037099315,3,0.9155050013158643,0.008992134032373034,GP_improb,simple_question
20,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.987943179986928,0.012056755732187119,4,0.7998526900606748,0.009761318780417028,GP_improb,simple_question
21,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.9930758767837915,0.006924139121136569,5,0.9209235990723528,0.0064210632455732886,GP_improb,simple_question
22,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.9902926898981832,0.009707246594857832,6,0.8312643336553265,0.008148387576312643,GP_improb,simple_question
23,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.9933367064328422,0.006663294032779113,7,0.9325362472471852,0.006255445682767702,GP_improb,simple_question
