,model,sentence,question,correct,incorrect,sent_type,quest_type
0,gpt-4,While the secretary typed the memo neared completion.,Did the memo near completion?,1.0,0.0,GP_prob,simple_question
1,gpt-4,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.0,1.0,GP_prob,GP_question
2,gpt-4,While the secretary typed the drawing neared completion.,Did the drawing near completion?,1.0,0.0,GP_improb,simple_question
3,gpt-4,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,1.0,0.0,GP_improb,GP_question
4,gpt-4,The memo neared completion while the secretary typed.,Did the memo near completion?,1.0,0.0,nonGP_prob,simple_question
5,gpt-4,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.0,1.0,nonGP_prob,GP_question
6,gpt-4,The drawing neared completion while the secretary typed.,Did the drawing near completion?,1.0,0.0,nonGP_improb,simple_question
7,gpt-4,The drawing neared completion while the secretary typed.,Did the secretary type the drawing?,1.0,0.0,nonGP_improb,GP_question
8,gpt-4,While the explorer paddled the canoe headed toward a waterfall.,Did the canoe head toward a waterfall?,1.0,0.0,GP_prob,simple_question
9,gpt-4,While the explorer paddled the canoe headed toward a waterfall.,Did the explorer paddle the canoe?,0.0,1.0,GP_prob,GP_question
10,gpt-4,While the explorer paddled the yacht headed toward a waterfall.,Did the yacht head toward a waterfall?,1.0,0.0,GP_improb,simple_question
11,gpt-4,While the explorer paddled the yacht headed toward a waterfall.,Did the explorer paddle the yacht?,0.0,1.0,GP_improb,GP_question
12,gpt-4,The canoe headed toward a waterfall while the explorer paddled.,Did the canoe head toward a waterfall?,1.0,0.0,nonGP_prob,simple_question
13,gpt-4,The canoe headed toward a waterfall while the explorer paddled.,Did the explorer paddle the canoe?,0.0,1.0,nonGP_prob,GP_question
14,gpt-4,The yacht headed toward a waterfall while the explorer paddled.,Did the yacht head toward a waterfall?,1.0,0.0,nonGP_improb,simple_question
15,gpt-4,The yacht headed toward a waterfall while the explorer paddled.,Did the explorer paddle the yacht?,1.0,0.0,nonGP_improb,GP_question
16,gpt-4,While the cowboy rode the horse sweated profusely.,Did the horse sweat profusely?,1.0,0.0,GP_prob,simple_question
17,gpt-4,While the cowboy rode the horse sweated profusely.,Did the cowboy ride the horse?,0.0,1.0,GP_prob,GP_question
18,gpt-4,While the cowboy rode the leopard sweated profusely.,Did the leopard sweat profusely?,1.0,0.0,GP_improb,simple_question
19,gpt-4,While the cowboy rode the leopard sweated profusely.,Did the cowboy ride the leopard?,0.25,0.75,GP_improb,GP_question
20,gpt-4,The horse sweated profusely while the cowboy rode.,Did the horse sweat profusely?,1.0,0.0,nonGP_prob,simple_question
21,gpt-4,The horse sweated profusely while the cowboy rode.,Did the cowboy ride the horse?,0.0,1.0,nonGP_prob,GP_question
22,gpt-4,The leopard sweated profusely while the cowboy rode.,Did the leopard sweat profusely?,1.0,0.0,nonGP_improb,simple_question
23,gpt-4,The leopard sweated profusely while the cowboy rode.,Did the cowboy ride the leopard?,1.0,0.0,nonGP_improb,GP_question
24,gpt-4,While Tom grilled the hot dog began to burn.,Did the hot dog begin to burn?,1.0,0.0,GP_prob,simple_question
25,gpt-4,While Tom grilled the hot dog began to burn.,Did Tom grill the hot dog?,0.0,1.0,GP_prob,GP_question
26,gpt-4,While Tom grilled the barn began to burn.,Did the barn begin to burn?,1.0,0.0,GP_improb,simple_question
27,gpt-4,While Tom grilled the barn began to burn.,Did Tom grill the barn?,1.0,0.0,GP_improb,GP_question
28,gpt-4,The hot dog began to burn while Tom grilled.,Did the hot dog begin to burn?,1.0,0.0,nonGP_prob,simple_question
29,gpt-4,The hot dog began to burn while Tom grilled.,Did Tom grill the hot dog?,0.0,1.0,nonGP_prob,GP_question
30,gpt-4,The barn began to burn while Tom grilled.,Did the barn begin to burn?,1.0,0.0,nonGP_improb,simple_question
31,gpt-4,The barn began to burn while Tom grilled.,Did Tom grill the barn?,1.0,0.0,nonGP_improb,GP_question
32,gpt-4,While the architect drew the building represented modern times style.,Did the building represent modern time style?,1.0,0.0,GP_prob,simple_question
33,gpt-4,While the architect drew the building represented modern times style.,Did the architect draw the building?,0.0,1.0,GP_prob,GP_question
34,gpt-4,While the architect drew the melody represented modern times style.,Did the melody represent modern time style?,1.0,0.0,GP_improb,simple_question
35,gpt-4,While the architect drew the melody represented modern times style.,Did the architect draw the melody?,0.0,1.0,GP_improb,GP_question
36,gpt-4,The building represented modern times style while the architect drew.,Did the building represent modern time style?,1.0,0.0,nonGP_prob,simple_question
37,gpt-4,The building represented modern times style while the architect drew.,Did the architect draw the building?,0.0,0.0,nonGP_prob,GP_question
38,gpt-4,The melody represented modern times style while the architect drew.,Did the melody represent modern time style?,1.0,0.0,nonGP_improb,simple_question
39,gpt-4,The melody represented modern times style while the architect drew.,Did the architect draw the melody?,1.0,0.0,nonGP_improb,GP_question
