,model,sentence,question,correct,incorrect,prompt_index,base_correct,base_incorrect,sent_type,quest_type
0,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the memo near completion?,0.7673186724218795,0.2326813704934949,0,0.6175051067614277,0.1872519795269767,GP_prob,simple_question
1,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the memo near completion?,0.7286516101207781,0.2713482993925105,1,0.5822975040432539,0.21684633781810447,GP_prob,simple_question
2,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the memo near completion?,0.7924863969824401,0.2075135352188937,2,0.5969145346311961,0.15630280642675842,GP_prob,simple_question
3,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the memo near completion?,0.6798980270433503,0.3201020129044032,3,0.5572372212050141,0.2623522164062013,GP_prob,simple_question
4,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the memo near completion?,0.7595745555533995,0.24042540552314762,4,0.5564997429880805,0.17614686473834595,GP_prob,simple_question
5,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the memo near completion?,0.7093432115264022,0.2906567146065697,5,0.5819245057751914,0.23844630407003464,GP_prob,simple_question
6,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the memo near completion?,0.7606567179086596,0.23934327618535178,6,0.5886598984707234,0.1852238911068511,GP_prob,simple_question
7,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the memo near completion?,0.7509391083821129,0.24906095097941616,7,0.6219064948787718,0.20626522812495374,GP_prob,simple_question
8,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.4485008785975566,0.5514991240056588,0,0.31789658713266533,0.3909015465162611,GP_prob,GP_question
9,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.41217124951475625,0.5878287339562576,1,0.2992604575315241,0.42679805525062875,GP_prob,GP_question
10,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.3406255050119853,0.6593744315177901,2,0.23652653757915232,0.45786224160292477,GP_prob,GP_question
11,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.5206753016190362,0.4793246992373952,3,0.3894496910603067,0.3585206462089445,GP_prob,GP_question
12,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.4907886312738867,0.5092114707761084,4,0.3097173341071908,0.3213432603729416,GP_prob,GP_question
13,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.41608349830670477,0.5839164733874895,5,0.2992945363744255,0.4200191075292423,GP_prob,GP_question
14,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.3845593784521668,0.6154405822617264,6,0.26268264975939815,0.4203916789954292,GP_prob,GP_question
15,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.4215596342123433,0.5784402753802169,7,0.29966760108933954,0.41118691305587163,GP_prob,GP_question
16,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.7213315372916895,0.27866858728289046,0,0.5805106243167302,0.2242659143496617,GP_improb,simple_question
17,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.6755545822943532,0.3244454190295549,1,0.5446533661146873,0.26157810684791905,GP_improb,simple_question
18,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.7948029973075563,0.20519698005015474,2,0.6268906480856913,0.16184648131504087,GP_improb,simple_question
19,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.6925780550378704,0.30742200158433164,3,0.5934511535602951,0.2634214504664074,GP_improb,simple_question
20,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.7838162033790468,0.21618381576185008,4,0.6049329311732663,0.16684615717345963,GP_improb,simple_question
21,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.6739441975739169,0.3260558183899924,5,0.5681775833128881,0.2748857189886307,GP_improb,simple_question
22,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.7537873849473726,0.2462126470022934,6,0.6040135064971537,0.19729138427112858,GP_improb,simple_question
23,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.7173299710191259,0.28267008141018835,7,0.6018634184923712,0.23716947669007737,GP_improb,simple_question
24,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.9889478020149092,0.01105216763219019,0,0.8448832143007614,0.009442147816500324,GP_improb,GP_question
25,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.9891733773916762,0.010826508754405495,1,0.8942843081635754,0.009787947563008714,GP_improb,GP_question
26,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.9884862577415703,0.01151370013896269,2,0.8107358041849402,0.009443296724864325,GP_improb,GP_question
27,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.9958332761715596,0.00416683169061649,3,0.9297737600492795,0.003890421334837413,GP_improb,GP_question
28,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.9900718196802369,0.009928121568535175,4,0.8188369167629856,0.00821103406716972,GP_improb,GP_question
29,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.9782873626682225,0.02171265042401771,5,0.8932219997549034,0.019824663357979944,GP_improb,GP_question
30,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.9855910320205812,0.014409070889641384,6,0.8310296333457252,0.012149425475008968,GP_improb,GP_question
31,meta-llama/Llama-3.2-90B-Vision,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.9887584644996235,0.011241492140168674,7,0.9047419772080545,0.010286283668030194,GP_improb,GP_question
32,meta-llama/Llama-3.2-90B-Vision,The memo neared completion while the secretary typed.,Did the memo near completion?,0.6845655204301693,0.31543444345548366,0,0.4983182688938541,0.22961533520103217,nonGP_prob,simple_question
33,meta-llama/Llama-3.2-90B-Vision,The memo neared completion while the secretary typed.,Did the memo near completion?,0.6691426208974462,0.3308574243931268,1,0.5345737246104818,0.2643198476821276,nonGP_prob,simple_question
34,meta-llama/Llama-3.2-90B-Vision,The memo neared completion while the secretary typed.,Did the memo near completion?,0.9040901959697294,0.09590986686661829,2,0.6859471545706128,0.0727682900072768,nonGP_prob,simple_question
35,meta-llama/Llama-3.2-90B-Vision,The memo neared completion while the secretary typed.,Did the memo near completion?,0.750308675919996,0.2496913215886618,3,0.6303520464466601,0.2097715766874213,nonGP_prob,simple_question
36,meta-llama/Llama-3.2-90B-Vision,The memo neared completion while the secretary typed.,Did the memo near completion?,0.8986319077562257,0.10136810118728157,4,0.6553749532756683,0.07392805998378194,nonGP_prob,simple_question
37,meta-llama/Llama-3.2-90B-Vision,The memo neared completion while the secretary typed.,Did the memo near completion?,0.6564431119747951,0.34355682130810017,5,0.525064953985634,0.2747986010032779,nonGP_prob,simple_question
38,meta-llama/Llama-3.2-90B-Vision,The memo neared completion while the secretary typed.,Did the memo near completion?,0.5594198206504188,0.44058019302861595,6,0.3902557724688904,0.3073522854280455,nonGP_prob,simple_question
39,meta-llama/Llama-3.2-90B-Vision,The memo neared completion while the secretary typed.,Did the memo near completion?,0.7027106606508369,0.2972894050758903,7,0.5761828020378061,0.24376040880652283,nonGP_prob,simple_question
40,meta-llama/Llama-3.2-90B-Vision,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.13050694382301486,0.8694930023120833,0,0.08162829976767583,0.5438425906072553,nonGP_prob,GP_question
41,meta-llama/Llama-3.2-90B-Vision,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.07243303775769228,0.9275669229364212,1,0.06126232506543783,0.7845163826773387,nonGP_prob,GP_question
