,model,sentence,question,correct,incorrect,prompt_index,base_correct,base_incorrect,sent_type,quest_type
0,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the memo near completion?,0.48698240518569946,0.5130175948143005,0,0.48698240518569946,0.5130175948143005,GP_prob,simple_question
1,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the memo near completion?,0.36658975481987,0.6334102749824524,1,0.36658975481987,0.6334102749824524,GP_prob,simple_question
2,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the memo near completion?,0.5130180716514587,0.48698195815086365,2,0.5130180716514587,0.48698195815086365,GP_prob,simple_question
3,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the memo near completion?,0.6394357681274414,0.3605642020702362,3,0.6394357681274414,0.3605642020702362,GP_prob,simple_question
4,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the memo near completion?,0.5195213556289673,0.4804786741733551,4,0.5195213556289673,0.4804786741733551,GP_prob,simple_question
5,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the memo near completion?,0.32537776231765747,0.6746222376823425,5,0.32537776231765747,0.6746222376823425,GP_prob,simple_question
6,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the memo near completion?,0.4098503887653351,0.5901496410369873,6,0.4098503887653351,0.5901496410369873,GP_prob,simple_question
7,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the memo near completion?,0.33691245317459106,0.6630875468254089,7,0.33691245317459106,0.6630875468254089,GP_prob,simple_question
8,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.28670138120651245,0.7132986187934875,0,0.28670138120651245,0.7132986187934875,GP_prob,GP_question
9,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.4288710057735443,0.5711290240287781,1,0.4288710057735443,0.5711290240287781,GP_prob,GP_question
10,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.35458189249038696,0.6454181671142578,2,0.35458189249038696,0.6454181671142578,GP_prob,GP_question
11,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.1770508885383606,0.8229490518569946,3,0.1770508885383606,0.8229490518569946,GP_prob,GP_question
12,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.28140559792518616,0.7185943722724915,4,0.28140559792518616,0.7185943722724915,GP_prob,GP_question
