,sentence,question,set_id,sent_type,quest_type,correct_answer,incorrect_answer
0,While the secretary typed the memo neared completion.,Did the memo near completion?,set_10,GP_prob,simple_question,Yes,No
1,While the secretary typed the memo neared completion.,Did the secretary type the memo?,set_10,GP_prob,GP_question,No,Yes
2,While the secretary typed the drawing neared completion.,Did the drawing near completion?,set_10,GP_improb,simple_question,Yes,No
3,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,set_10,GP_improb,GP_question,No,Yes
4,The memo neared completion while the secretary typed.,Did the memo near completion?,set_10,nonGP_prob,simple_question,Yes,No
5,The memo neared completion while the secretary typed.,Did the secretary type the memo?,set_10,nonGP_prob,GP_question,No,Yes
6,The drawing neared completion while the secretary typed.,Did the drawing near completion?,set_10,nonGP_improb,simple_question,Yes,No
7,The drawing neared completion while the secretary typed.,Did the secretary type the drawing?,set_10,nonGP_improb,GP_question,No,Yes
8,While the explorer paddled the canoe headed toward a waterfall.,Did the canoe head toward a waterfall?,set_11,GP_prob,simple_question,Yes,No
9,While the explorer paddled the canoe headed toward a waterfall.,Did the explorer paddle the canoe?,set_11,GP_prob,GP_question,No,Yes
10,While the explorer paddled the yacht headed toward a waterfall.,Did the yacht head toward a waterfall?,set_11,GP_improb,simple_question,Yes,No
11,While the explorer paddled the yacht headed toward a waterfall.,Did the explorer paddle the yacht?,set_11,GP_improb,GP_question,No,Yes
12,The canoe headed toward a waterfall while the explorer paddled.,Did the canoe head toward a waterfall?,set_11,nonGP_prob,simple_question,Yes,No
13,The canoe headed toward a waterfall while the explorer paddled.,Did the explorer paddle the canoe?,set_11,nonGP_prob,GP_question,No,Yes
14,The yacht headed toward a waterfall while the explorer paddled.,Did the yacht head toward a waterfall?,set_11,nonGP_improb,simple_question,Yes,No
15,The yacht headed toward a waterfall while the explorer paddled.,Did the explorer paddle the yacht?,set_11,nonGP_improb,GP_question,No,Yes
16,While the cowboy rode the horse sweated profusely.,Did the horse sweat profusely?,set_12,GP_prob,simple_question,Yes,No
17,While the cowboy rode the horse sweated profusely.,Did the cowboy ride the horse?,set_12,GP_prob,GP_question,No,Yes
18,While the cowboy rode the leopard sweated profusely.,Did the leopard sweat profusely?,set_12,GP_improb,simple_question,Yes,No
19,While the cowboy rode the leopard sweated profusely.,Did the cowboy ride the leopard?,set_12,GP_improb,GP_question,No,Yes
20,The horse sweated profusely while the cowboy rode.,Did the horse sweat profusely?,set_12,nonGP_prob,simple_question,Yes,No
21,The horse sweated profusely while the cowboy rode.,Did the cowboy ride the horse?,set_12,nonGP_prob,GP_question,No,Yes
22,The leopard sweated profusely while the cowboy rode.,Did the leopard sweat profusely?,set_12,nonGP_improb,simple_question,Yes,No
23,The leopard sweated profusely while the cowboy rode.,Did the cowboy ride the leopard?,set_12,nonGP_improb,GP_question,No,Yes
24,While Tom grilled the hot dog began to burn.,Did the hot dog begin to burn?,set_13,GP_prob,simple_question,Yes,No
25,While Tom grilled the hot dog began to burn.,Did Tom grill the hot dog?,set_13,GP_prob,GP_question,No,Yes
26,While Tom grilled the barn began to burn.,Did the barn begin to burn?,set_13,GP_improb,simple_question,Yes,No
27,While Tom grilled the barn began to burn.,Did Tom grill the barn?,set_13,GP_improb,GP_question,No,Yes
28,The hot dog began to burn while Tom grilled.,Did the hot dog begin to burn?,set_13,nonGP_prob,simple_question,Yes,No
29,The hot dog began to burn while Tom grilled.,Did Tom grill the hot dog?,set_13,nonGP_prob,GP_question,No,Yes
30,The barn began to burn while Tom grilled.,Did the barn begin to burn?,set_13,nonGP_improb,simple_question,Yes,No
31,The barn began to burn while Tom grilled.,Did Tom grill the barn?,set_13,nonGP_improb,GP_question,No,Yes
32,While the architect drew the building represented modern times style.,Did the building represent modern time style?,set_14,GP_prob,simple_question,Yes,No
33,While the architect drew the building represented modern times style.,Did the architect draw the building?,set_14,GP_prob,GP_question,No,Yes
34,While the architect drew the melody represented modern times style.,Did the melody represent modern time style?,set_14,GP_improb,simple_question,Yes,No
35,While the architect drew the melody represented modern times style.,Did the architect draw the melody?,set_14,GP_improb,GP_question,No,Yes
36,The building represented modern times style while the architect drew.,Did the building represent modern time style?,set_14,nonGP_prob,simple_question,Yes,No
37,The building represented modern times style while the architect drew.,Did the architect draw the building?,set_14,nonGP_prob,GP_question,No,Yes
38,The melody represented modern times style while the architect drew.,Did the melody represent modern time style?,set_14,nonGP_improb,simple_question,Yes,No
39,The melody represented modern times style while the architect drew.,Did the architect draw the melody?,set_14,nonGP_improb,GP_question,No,Yes
40,While the chef stirred the soup boiled over.,Did the soup boil over?,set_15,GP_prob,simple_question,Yes,No
41,While the chef stirred the soup boiled over.,Did the chef stir the soup?,set_15,GP_prob,GP_question,No,Yes
42,While the chef stirred the acid boiled over.,Did the acid boil over?,set_15,GP_improb,simple_question,Yes,No
43,While the chef stirred the acid boiled over.,Did the chef stir the acid?,set_15,GP_improb,GP_question,No,Yes
44,The soup boiled over while the chef stirred.,Did the soup boil over?,set_15,nonGP_prob,simple_question,Yes,No
45,The soup boiled over while the chef stirred.,Did the chef stir the soup?,set_15,nonGP_prob,GP_question,No,Yes
46,The acid boiled over while the chef stirred.,Did the acid boil over?,set_15,nonGP_improb,simple_question,Yes,No
47,The acid boiled over while the chef stirred.,Did the chef stir the acid?,set_15,nonGP_improb,GP_question,No,Yes
48,While the tourist explored the tunnel echoed with mysterious sounds.,Did the tunnel echo with mysterious sounds?,set_16,GP_prob,simple_question,Yes,No
49,While the tourist explored the tunnel echoed with mysterious sounds.,Did the tourist explore the tunnel?,set_16,GP_prob,GP_question,No,Yes
50,While the tourist explored the trunk echoed with mysterious sounds.,Did the trunk echo with mysterious sounds?,set_16,GP_improb,simple_question,Yes,No
51,While the tourist explored the trunk echoed with mysterious sounds.,Did the tourist explore the trunk?,set_16,GP_improb,GP_question,No,Yes
52,The tunnel echoed with mysterious sounds while the tourist explored.,Did the tunnel echo with mysterious sounds?,set_16,nonGP_prob,simple_question,Yes,No
