,id,age,country,practice_1,practice_2,sentence,question,set_id,sent_type,quest_type,ManipulationType,SentenceType,time,correct
0,56616f558ce0393ce9463f2605244258,28,usa,True,True,While the tourist filmed the trashbags blocked the sidewalk.,Did the trashbags block the sidewalk?,set_28,GP_improb,simple_question,improb,GP,4635,True
1,997e714eaf61701db16bcd02d6c2d7cc,35,USA,True,True,While the tourist filmed the trashbags blocked the sidewalk.,Did the trashbags block the sidewalk?,set_28,GP_improb,simple_question,improb,GP,3807,True
3,a74fcfe55d403c26125e8a8243df124c,37,UK,True,True,While the tourist filmed the trashbags blocked the sidewalk.,Did the trashbags block the sidewalk?,set_28,GP_improb,simple_question,improb,GP,958,True
4,b50634563e2e30f10eb7f9e9eaed9508,61,United Kingdom,True,True,While the bridesmaid ordered the dress got delivered.,Did the bridesmaid order the dress?,set_4,GP_prob,GP_question,prob,GP,2499,False
5,8bcacc8cf532c0a7ab012d7278fd4b48,40,UK,True,True,While the tourist filmed the trashbags blocked the sidewalk.,Did the trashbags block the sidewalk?,set_28,GP_improb,simple_question,improb,GP,2297,True
6,727972e2a72f3124cb4b9a99843f08b9,41,UK,True,True,The dancer blocked the sidewalk while the tourist filmed.,Did the tourist film the dancer?,set_28,nonGP_prob,GP_question,prob,nonGP,4085,False
7,590592f511c91bf6de5ca366146c1bd1,70,United Kingdom,True,True,The dancer blocked the sidewalk while the tourist filmed.,Did the tourist film the dancer?,set_28,nonGP_prob,GP_question,prob,nonGP,2838,False
8,f7569adab6b29cae1fc24b17c9733b07,70,England,True,True,While the athlete wrestled the audience shouted insults.,Did the audience shout insults?,set_29,GP_improb,simple_question,improb,GP,1734,True
9,1c8d73e887852e26c8b2b479fa428d40,63,United Kingdom,True,True,While the athlete wrestled the audience shouted insults.,Did the audience shout insults?,set_29,GP_improb,simple_question,improb,GP,2265,True
10,6b895e7cb179de97fd6b0caddd8cc215,28,US,True,True,The trashbags blocked the sidewalk while the tourist filmed.,Did the trashbags block the sidewalk?,set_28,nonGP_improb,simple_question,improb,nonGP,2005,True
11,c0a6fa426460d46cc0488fc155bceff6,40,United Kingdom,True,True,The opponent shouted insults while the athlete wrestled.,Did the opponent shout insults?,set_29,nonGP_prob,simple_question,prob,nonGP,1472,True
12,470b70cc5b81239a268e5eb586da9b55,32,united kingdom,True,True,The opponent shouted insults while the athlete wrestled.,Did the athlete wrestle the opponent?,set_29,nonGP_prob,GP_question,prob,nonGP,3904,True
13,3aef837f42d18507584da68c7518fb9f,31,England,True,True,The audience shouted insults while the athlete wrestled.,Did the audience shout insults?,set_29,nonGP_improb,simple_question,improb,nonGP,1484,True
14,96b7bbd34e29f314af731b8b6726ae8e,42,England%2C UK,True,True,The audience shouted insults while the athlete wrestled.,Did the athlete wrestle the audience?,set_29,nonGP_improb,GP_question,improb,nonGP,2445,True
16,aba339e1984966a815bccbdb11970591,30,United Kingdom,True,True,While the warrior fought the rhino retreated.,Did the rhino retreat?,set_30,GP_improb,simple_question,improb,GP,1210,True
17,95b48e99333056bdbe824dfa8de9faf0,63,UK,True,True,The audience shouted insults while the athlete wrestled.,Did the athlete wrestle the audience?,set_29,nonGP_improb,GP_question,improb,nonGP,3702,True
18,5f20d4ddde81c8a56eb2ac880695acac,52,uk,True,True,While the warrior fought the rhino retreated.,Did the rhino retreat?,set_30,GP_improb,simple_question,improb,GP,1876,True
19,e3b61a099e11dc154429d27089b9665f,54,United Kingdom,True,True,While the warrior fought the rhino retreated.,Did the rhino retreat?,set_30,GP_improb,simple_question,improb,GP,2246,True
20,663a4655d6011b1d79f7edfd754ace92,34,United Kingdom,True,True,While the warrior fought the rhino retreated.,Did the rhino retreat?,set_30,GP_improb,simple_question,improb,GP,4260,True
21,345c3e86ecd52d3a6d2ad099410a42ca,37,United Kingdom,True,True,While the warrior fought the rhino retreated.,Did the warrior fight the rhino?,set_30,GP_improb,GP_question,improb,GP,6000,False
