,model,sentence,question,correct,incorrect,prompt_index,base_correct,base_incorrect,sent_type,quest_type
0,allenai/OLMo-7B-0724-hf_step647650-tokens2716B,While the secretary typed the memo neared completion.,Did the memo near completion?,0.8757675886154175,0.1242324891500175,0,5.522128958546091e-05,7.833445806681993e-06,GP_prob,simple_question
1,allenai/OLMo-7B-0724-hf_step647650-tokens2716B,While the secretary typed the memo neared completion.,Did the memo near completion?,0.873354272916913,0.12664577923715115,1,5.049454341587989e-05,7.322252628227943e-06,GP_prob,simple_question
2,allenai/OLMo-7B-0724-hf_step647650-tokens2716B,While the secretary typed the memo neared completion.,Did the memo near completion?,0.8719056975096464,0.12809422938153148,2,5.3239090561874036e-05,7.821511161409944e-06,GP_prob,simple_question
3,allenai/OLMo-7B-0724-hf_step647650-tokens2716B,While the secretary typed the memo neared completion.,Did the memo near completion?,0.8577925283461809,0.14220747398212552,3,5.163705122868123e-05,8.560548508285137e-06,GP_prob,simple_question
4,allenai/OLMo-7B-0724-hf_step647650-tokens2716B,While the secretary typed the memo neared completion.,Did the memo near completion?,0.877884928137064,0.12211509235203266,4,4.7802330527702e-05,6.649375166034588e-06,GP_prob,simple_question
5,allenai/OLMo-7B-0724-hf_step647650-tokens2716B,While the secretary typed the memo neared completion.,Did the memo near completion?,0.8848218806087971,0.11517819901928306,5,5.1857514449693554e-05,6.750347495199094e-06,GP_prob,simple_question
6,allenai/OLMo-7B-0724-hf_step647650-tokens2716B,While the secretary typed the memo neared completion.,Did the memo near completion?,0.8635898940265179,0.13641012040898204,6,4.9106254664366134e-05,7.75667939478808e-06,GP_prob,simple_question
7,allenai/OLMo-7B-0724-hf_step647650-tokens2716B,While the secretary typed the memo neared completion.,Did the memo near completion?,0.8770340364426374,0.12296594073995948,7,4.64856802864233e-05,6.517598109212486e-06,GP_prob,simple_question
8,allenai/OLMo-7B-0724-hf_step647650-tokens2716B,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.10451898816972971,0.8954810276627541,0,7.809848000306374e-06,6.691196176689118e-05,GP_prob,GP_question
9,allenai/OLMo-7B-0724-hf_step647650-tokens2716B,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.129332285374403,0.8706677295267582,1,8.357162329275525e-06,5.626059623864421e-05,GP_prob,GP_question
10,allenai/OLMo-7B-0724-hf_step647650-tokens2716B,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.10670068953186274,0.8932992778718472,2,8.165505249735361e-06,6.836169188773056e-05,GP_prob,GP_question
11,allenai/OLMo-7B-0724-hf_step647650-tokens2716B,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.12348227296024561,0.8765177149325609,3,8.562423118974039e-06,6.077888838262879e-05,GP_prob,GP_question
12,allenai/OLMo-7B-0724-hf_step647650-tokens2716B,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.11694530537351966,0.8830546718090773,4,7.696406868262784e-06,5.81156134558114e-05,GP_prob,GP_question
13,allenai/OLMo-7B-0724-hf_step647650-tokens2716B,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.09717407496646047,0.9028259124606848,5,7.01667636349157e-06,6.519061366816459e-05,GP_prob,GP_question
