,id,age,country,practice_1,practice_2,time,selected_answer,set,sentence_type
0,56616f558ce0393ce9463f2605244258,28,usa,correct,correct,4635,correct,set_28,GP_improb_simple_question
1,997e714eaf61701db16bcd02d6c2d7cc,35,USA,correct,correct,3807,correct,set_28,GP_improb_simple_question
2,5a4937c74b644857804e48221cb61d80,57,UK,incorrect,correct,3319,correct,set_28,GP_improb_simple_question
3,a74fcfe55d403c26125e8a8243df124c,37,UK,correct,correct,958,correct,set_28,GP_improb_simple_question
4,b50634563e2e30f10eb7f9e9eaed9508,62,United Kingdom,correct,incorrect,2355,correct,set_28,nonGP_prob_simple_question
5,8bcacc8cf532c0a7ab012d7278fd4b48,40,UK,correct,correct,2297,correct,set_28,GP_improb_simple_question
6,727972e2a72f3124cb4b9a99843f08b9,41,UK,correct,correct,4085,incorrect,set_28,nonGP_prob_GP_question
7,590592f511c91bf6de5ca366146c1bd1,70,United Kingdom,correct,correct,2838,incorrect,set_28,nonGP_prob_GP_question
8,f7569adab6b29cae1fc24b17c9733b07,70,England,correct,correct,1734,correct,set_29,GP_improb_simple_question
9,1c8d73e887852e26c8b2b479fa428d40,63,United Kingdom,correct,correct,2265,correct,set_29,GP_improb_simple_question
10,6b895e7cb179de97fd6b0caddd8cc215,28,US,correct,correct,2005,correct,set_28,nonGP_improb_simple_question
11,c0a6fa426460d46cc0488fc155bceff6,40,United Kingdom,correct,correct,1472,correct,set_29,nonGP_prob_simple_question
12,470b70cc5b81239a268e5eb586da9b55,32,united kingdom,correct,correct,3904,correct,set_29,nonGP_prob_GP_question
13,3aef837f42d18507584da68c7518fb9f,31,England,correct,correct,1484,correct,set_29,nonGP_improb_simple_question
14,96b7bbd34e29f314af731b8b6726ae8e,42,England%2C UK,correct,correct,2445,correct,set_29,nonGP_improb_GP_question
15,fdacbef512b92365ca1bc312b2f35172,53,UNITED KINGDOM,incorrect,correct,659,correct,set_29,nonGP_prob_simple_question
16,aba339e1984966a815bccbdb11970591,30,United Kingdom,correct,correct,1210,correct,set_30,GP_improb_simple_question
17,95b48e99333056bdbe824dfa8de9faf0,63,UK,correct,correct,3702,correct,set_29,nonGP_improb_GP_question
18,5f20d4ddde81c8a56eb2ac880695acac,52,uk,correct,correct,1876,correct,set_30,GP_improb_simple_question
19,e3b61a099e11dc154429d27089b9665f,54,United Kingdom,correct,correct,2246,correct,set_30,GP_improb_simple_question
20,663a4655d6011b1d79f7edfd754ace92,34,United Kingdom,correct,correct,4260,correct,set_30,GP_improb_simple_question
21,345c3e86ecd52d3a6d2ad099410a42ca,37,United Kingdom,correct,correct,6000,incorrect,set_30,GP_improb_GP_question
22,615ccef2904d46414dd7437c95f3d0c8,53,UK,correct,correct,1222,correct,set_30,GP_improb_simple_question
23,64704cb59fb32f1c8cb87529cbb620dc,57,United Kingdom,correct,correct,2374,correct,set_30,nonGP_prob_simple_question
24,2ab9c449474ba4276a279b29dce08528,32,United States,correct,correct,2011,correct,set_30,nonGP_improb_simple_question
25,e48b5b184e699eba9f0ea2517ab0171b,40,UK,correct,correct,1518,incorrect,set_30,nonGP_improb_GP_question
26,70d7c3ed3d54e823b9bb7c1775f46643,38,USA,correct,correct,2212,incorrect,set_30,GP_improb_GP_question
27,08dd60c9b576a7f771917dc1fec1d055,32,United Kingdom,correct,correct,329,correct,set_30,nonGP_improb_GP_question
28,be3614a762e8b864c53a56aa3de11008,21,UK,correct,correct,2560,correct,set_30,nonGP_improb_GP_question
29,7e226286e6526cf1454df58ebfd7e529,46,USA,incorrect,correct,3836,correct,set_29,nonGP_improb_GP_question
