,model,sentence,question,correct,incorrect,sent_type,quest_type
0,meta-llama/Llama-3.2-1B,While the secretary typed the memo neared completion.,Did the memo near completion?,0.8813431262969971,0.11865690350532532,GP_prob,simple_question
1,meta-llama/Llama-3.2-1B,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.14543887972831726,0.8545611500740051,GP_prob,GP_question
2,meta-llama/Llama-3.2-1B,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.8892725706100464,0.1107274517416954,GP_improb,simple_question
3,meta-llama/Llama-3.2-1B,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.18476751446723938,0.815232515335083,GP_improb,GP_question
4,meta-llama/Llama-3.2-1B,The memo neared completion while the secretary typed.,Did the memo near completion?,0.896734893321991,0.10326509177684784,nonGP_prob,simple_question
5,meta-llama/Llama-3.2-1B,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.2460496872663498,0.753950297832489,nonGP_prob,GP_question
6,meta-llama/Llama-3.2-1B,The drawing neared completion while the secretary typed.,Did the drawing near completion?,0.9222958087921143,0.07770417630672455,nonGP_improb,simple_question
7,meta-llama/Llama-3.2-1B,The drawing neared completion while the secretary typed.,Did the secretary type the drawing?,0.28140559792518616,0.7185943722724915,nonGP_improb,GP_question
8,meta-llama/Llama-3.2-1B,While the explorer paddled the canoe headed toward a waterfall.,Did the canoe head toward a waterfall?,0.8479677438735962,0.15203224122524261,GP_prob,simple_question
9,meta-llama/Llama-3.2-1B,While the explorer paddled the canoe headed toward a waterfall.,Did the explorer paddle the canoe?,0.13599495589733124,0.8640050888061523,GP_prob,GP_question
10,meta-llama/Llama-3.2-1B,While the explorer paddled the yacht headed toward a waterfall.,Did the yacht head toward a waterfall?,0.7817748188972473,0.21822519600391388,GP_improb,simple_question
11,meta-llama/Llama-3.2-1B,While the explorer paddled the yacht headed toward a waterfall.,Did the explorer paddle the yacht?,0.17328819632530212,0.8267117738723755,GP_improb,GP_question
12,meta-llama/Llama-3.2-1B,The canoe headed toward a waterfall while the explorer paddled.,Did the canoe head toward a waterfall?,0.8670357465744019,0.13296423852443695,nonGP_prob,simple_question
13,meta-llama/Llama-3.2-1B,The canoe headed toward a waterfall while the explorer paddled.,Did the explorer paddle the canoe?,0.20519043505191803,0.7948095798492432,nonGP_prob,GP_question
