,model,sentence,question,correct,incorrect,sent_type,quest_type
0,meta-llama/Llama-3.1-70B,While the secretary typed the memo neared completion.,Did the memo near completion?,,,GP_prob,simple_question
1,meta-llama/Llama-3.1-70B,While the secretary typed the memo neared completion.,Did the secretary type the memo?,,,GP_prob,GP_question
2,meta-llama/Llama-3.1-70B,While the secretary typed the drawing neared completion.,Did the drawing near completion?,,,GP_improb,simple_question
3,meta-llama/Llama-3.1-70B,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,1.0,0.0,GP_improb,GP_question
4,meta-llama/Llama-3.1-70B,The memo neared completion while the secretary typed.,Did the memo near completion?,1.0,0.0,nonGP_prob,simple_question
5,meta-llama/Llama-3.1-70B,The memo neared completion while the secretary typed.,Did the secretary type the memo?,,,nonGP_prob,GP_question
6,meta-llama/Llama-3.1-70B,The drawing neared completion while the secretary typed.,Did the drawing near completion?,1.0,0.0,nonGP_improb,simple_question
7,meta-llama/Llama-3.1-70B,The drawing neared completion while the secretary typed.,Did the secretary type the drawing?,1.0,0.0,nonGP_improb,GP_question
8,meta-llama/Llama-3.1-70B,While the explorer paddled the canoe headed toward a waterfall.,Did the canoe head toward a waterfall?,1.0,0.0,GP_prob,simple_question
9,meta-llama/Llama-3.1-70B,While the explorer paddled the canoe headed toward a waterfall.,Did the explorer paddle the canoe?,0.0,1.0,GP_prob,GP_question
10,meta-llama/Llama-3.1-70B,While the explorer paddled the yacht headed toward a waterfall.,Did the yacht head toward a waterfall?,1.0,0.0,GP_improb,simple_question
11,meta-llama/Llama-3.1-70B,While the explorer paddled the yacht headed toward a waterfall.,Did the explorer paddle the yacht?,1.0,0.0,GP_improb,GP_question
12,meta-llama/Llama-3.1-70B,The canoe headed toward a waterfall while the explorer paddled.,Did the canoe head toward a waterfall?,1.0,0.0,nonGP_prob,simple_question
13,meta-llama/Llama-3.1-70B,The canoe headed toward a waterfall while the explorer paddled.,Did the explorer paddle the canoe?,0.0,1.0,nonGP_prob,GP_question
14,meta-llama/Llama-3.1-70B,The yacht headed toward a waterfall while the explorer paddled.,Did the yacht head toward a waterfall?,1.0,0.0,nonGP_improb,simple_question
15,meta-llama/Llama-3.1-70B,The yacht headed toward a waterfall while the explorer paddled.,Did the explorer paddle the yacht?,0.0,1.0,nonGP_improb,GP_question
16,meta-llama/Llama-3.1-70B,While the cowboy rode the horse sweated profusely.,Did the horse sweat profusely?,1.0,0.0,GP_prob,simple_question
17,meta-llama/Llama-3.1-70B,While the cowboy rode the horse sweated profusely.,Did the cowboy ride the horse?,0.0,1.0,GP_prob,GP_question
18,meta-llama/Llama-3.1-70B,While the cowboy rode the leopard sweated profusely.,Did the leopard sweat profusely?,1.0,0.0,GP_improb,simple_question
19,meta-llama/Llama-3.1-70B,While the cowboy rode the leopard sweated profusely.,Did the cowboy ride the leopard?,1.0,0.0,GP_improb,GP_question
20,meta-llama/Llama-3.1-70B,The horse sweated profusely while the cowboy rode.,Did the horse sweat profusely?,1.0,0.0,nonGP_prob,simple_question
21,meta-llama/Llama-3.1-70B,The horse sweated profusely while the cowboy rode.,Did the cowboy ride the horse?,0.0,1.0,nonGP_prob,GP_question
22,meta-llama/Llama-3.1-70B,The leopard sweated profusely while the cowboy rode.,Did the leopard sweat profusely?,1.0,0.0,nonGP_improb,simple_question
23,meta-llama/Llama-3.1-70B,The leopard sweated profusely while the cowboy rode.,Did the cowboy ride the leopard?,1.0,0.0,nonGP_improb,GP_question
24,meta-llama/Llama-3.1-70B,While Tom grilled the hot dog began to burn.,Did the hot dog begin to burn?,,,GP_prob,simple_question
25,meta-llama/Llama-3.1-70B,While Tom grilled the hot dog began to burn.,Did Tom grill the hot dog?,,,GP_prob,GP_question
26,meta-llama/Llama-3.1-70B,While Tom grilled the barn began to burn.,Did the barn begin to burn?,,,GP_improb,simple_question
27,meta-llama/Llama-3.1-70B,While Tom grilled the barn began to burn.,Did Tom grill the barn?,1.0,0.0,GP_improb,GP_question
28,meta-llama/Llama-3.1-70B,The hot dog began to burn while Tom grilled.,Did the hot dog begin to burn?,1.0,0.0,nonGP_prob,simple_question
29,meta-llama/Llama-3.1-70B,The hot dog began to burn while Tom grilled.,Did Tom grill the hot dog?,0.0,1.0,nonGP_prob,GP_question
30,meta-llama/Llama-3.1-70B,The barn began to burn while Tom grilled.,Did the barn begin to burn?,1.0,0.0,nonGP_improb,simple_question
31,meta-llama/Llama-3.1-70B,The barn began to burn while Tom grilled.,Did Tom grill the barn?,1.0,0.0,nonGP_improb,GP_question
32,meta-llama/Llama-3.1-70B,While the architect drew the building represented modern times style.,Did the building represent modern time style?,,,GP_prob,simple_question
33,meta-llama/Llama-3.1-70B,While the architect drew the building represented modern times style.,Did the architect draw the building?,,,GP_prob,GP_question
34,meta-llama/Llama-3.1-70B,While the architect drew the melody represented modern times style.,Did the melody represent modern time style?,0.0,1.0,GP_improb,simple_question
35,meta-llama/Llama-3.1-70B,While the architect drew the melody represented modern times style.,Did the architect draw the melody?,1.0,0.0,GP_improb,GP_question
36,meta-llama/Llama-3.1-70B,The building represented modern times style while the architect drew.,Did the building represent modern time style?,,,nonGP_prob,simple_question
37,meta-llama/Llama-3.1-70B,The building represented modern times style while the architect drew.,Did the architect draw the building?,,,nonGP_prob,GP_question
38,meta-llama/Llama-3.1-70B,The melody represented modern times style while the architect drew.,Did the melody represent modern time style?,,,nonGP_improb,simple_question
