sentence,sent_type,sent_id
While the secretary typed the memo neared completion.,GP_prob,sent_1
While the secretary typed the drawing neared completion.,GP_improb,sent_2
The memo neared completion while the secretary typed.,nonGP_prob,sent_3
The drawing neared completion while the secretary typed.,nonGP_improb,sent_4
While the explorer paddled the canoe headed toward a waterfall.,GP_prob,sent_5
While the explorer paddled the yacht headed toward a waterfall.,GP_improb,sent_6
The canoe headed toward a waterfall while the explorer paddled.,nonGP_prob,sent_7
The yacht headed toward a waterfall while the explorer paddled.,nonGP_improb,sent_8
While the cowboy rode the horse sweated profusely.,GP_prob,sent_9
While the cowboy rode the leopard sweated profusely.,GP_improb,sent_10
The horse sweated profusely while the cowboy rode.,nonGP_prob,sent_11
The leopard sweated profusely while the cowboy rode.,nonGP_improb,sent_12
While Tom grilled the hot dog began to burn.,GP_prob,sent_13
While Tom grilled the barn began to burn.,GP_improb,sent_14
The hot dog began to burn while Tom grilled.,nonGP_prob,sent_15
The barn began to burn while Tom grilled.,nonGP_improb,sent_16
While the architect drew the building represented modern times style.,GP_prob,sent_17
While the architect drew the melody represented modern times style.,GP_improb,sent_18
The building represented modern times style while the architect drew.,nonGP_prob,sent_19
The melody represented modern times style while the architect drew.,nonGP_improb,sent_20
While the chef stirred the soup boiled over.,GP_prob,sent_21
While the chef stirred the acid boiled over.,GP_improb,sent_22
The soup boiled over while the chef stirred.,nonGP_prob,sent_23
The acid boiled over while the chef stirred.,nonGP_improb,sent_24
While the tourist explored the tunnel echoed with mysterious sounds.,GP_prob,sent_25
While the tourist explored the trunk echoed with mysterious sounds.,GP_improb,sent_26
The tunnel echoed with mysterious sounds while the tourist explored.,nonGP_prob,sent_27
The trunk echoed with mysterious sounds while the tourist explored.,nonGP_improb,sent_28
While the woman drank the water spilled on the floor.,GP_prob,sent_29
While the woman drank the mud spilled on the floor.,GP_improb,sent_30
The water spilled on the floor while the woman drank.,nonGP_prob,sent_31
The mud spilled on the floor while the woman drank.,nonGP_improb,sent_32
While the snake swallowed the frog kicked vigorously.,GP_prob,sent_33
While the snake swallowed the hippo kicked vigorously.,GP_improb,sent_34
The frog kicked vigorously while the snake swallowed.,nonGP_prob,sent_35
The hippo kicked vigorously while the snake swallowed.,nonGP_improb,sent_36
While the lion attacked the baboon screamed in terror.,GP_prob,sent_37
While the lion attacked the penguin screamed in terror.,GP_improb,sent_38
The baboon screamed in terror while the lion attacked.,nonGP_prob,sent_39
The penguin screamed in terror while the lion attacked.,nonGP_improb,sent_40
While the maid dusted the picture tipped over.,GP_prob,sent_41
While the maid dusted the cow tipped over.,GP_improb,sent_42
The picture tipped over while the maid dusted.,nonGP_prob,sent_43
The cow tipped over while the maid dusted.,nonGP_improb,sent_44
While the teacher counted the children formed a line.,GP_prob,sent_45
While the teacher counted the ants formed a line.,GP_improb,sent_46
The children formed a line while the teacher counted.,nonGP_prob,sent_47
The ants formed a line while the teacher counted.,nonGP_improb,sent_48
While the champion raced the challenger stumbled and fell.,GP_prob,sent_49
While the champion raced the spectator stumbled and fell.,GP_improb,sent_50
The challenger stumbled and fell while the champion raced.,nonGP_prob,sent_51
The spectator stumbled and fell while the champion raced.,nonGP_improb,sent_52
While Jerry played the violin went out of tune.,GP_prob,sent_53
While Jerry played the speakers went out of tune.,GP_improb,sent_54
The violin went out of tune while jerry played.,nonGP_prob,sent_55
The speakers went out of tune while jerry played.,nonGP_improb,sent_56
While the girl painted the rainbow slowly faded outside.,GP_prob,sent_57
While the girl painted the music slowly faded outside.,GP_improb,sent_58
The rainbow slowly faded outside while the girl painted.,nonGP_prob,sent_59
The music slowly faded outside while the girl painted.,nonGP_improb,sent_60
While Kendra parked the van bumped the curb.,GP_prob,sent_61
While Kendra parked the horse bumped the curb.,GP_improb,sent_62
The van bumped the curb while Kendra parked.,nonGP_prob,sent_63
The horse bumped the curb while Kendra parked.,nonGP_improb,sent_64
While Angela cleaned the dog stood in the yard.,GP_prob,sent_65
While Angela cleaned the mailman stood in the yard.,GP_improb,sent_66
The dog stood in the yard while Angela cleaned.,nonGP_prob,sent_67
The mailman stood in the yard while Angela cleaned.,nonGP_improb,sent_68
While the sailor smoked the pipe glowed brightly.,GP_prob,sent_69
While the sailor smoked the firefly glowed brightly.,GP_improb,sent_70
The pipe glowed brightly while the sailor smoked.,nonGP_prob,sent_71
The firefly glowed brightly while the sailor smoked.,nonGP_improb,sent_72
While the tourist filmed the dancer blocked the sidewalk.,GP_prob,sent_73
While the tourist filmed the trashbags blocked the sidewalk.,GP_improb,sent_74
The dancer blocked the sidewalk while the tourist filmed.,nonGP_prob,sent_75
The trashbags blocked the sidewalk while the tourist filmed.,nonGP_improb,sent_76
While the athlete wrestled the opponent shouted insults.,GP_prob,sent_77
While the athlete wrestled the audience shouted insults.,GP_improb,sent_78
The opponent shouted insults while the athlete wrestled.,nonGP_prob,sent_79
The audience shouted insults while the athlete wrestled.,nonGP_improb,sent_80
While the warrior fought the enemy retreated.,GP_prob,sent_81
While the warrior fought the rhino retreated.,GP_improb,sent_82
The enemy retreated while the warrior fought.,nonGP_prob,sent_83
The rhino retreated while the warrior fought.,nonGP_improb,sent_84
While Harry chewed the steak fell to the floor.,GP_prob,sent_85
While Harry chewed the book fell to the floor.,GP_improb,sent_86
The steak fell to the floor while Harry chewed.,nonGP_prob,sent_87
The book fell to the floor while Harry chewed.,nonGP_improb,sent_88
While Bill ate the turkey sat on the table.,GP_prob,sent_89
While Bill ate the baby sat on the table.,GP_improb,sent_90
The turkey sat on the table while Bill ate.,nonGP_prob,sent_91
The baby sat on the table while Bill ate.,nonGP_improb,sent_92
While Janet baked the bread rose in the oven.,GP_prob,sent_93
While Janet baked the pressure rose in the oven.,GP_improb,sent_94
The bread rose in the oven while Janet baked.,nonGP_prob,sent_95
The pressure rose in the oven while Janet baked.,nonGP_improb,sent_96
While the public cheered the team left the restaurant.,GP_prob,sent_97
While the public cheered the rats left the restaurant.,GP_improb,sent_98
The team left the restaurant while the public cheered.,nonGP_prob,sent_99
The rats left the restaurant while the public cheered.,nonGP_improb,sent_100
While the cleaner mopped the floor was filled with stains.,GP_prob,sent_101
While the cleaner mopped the ceiling was filled with stains.,GP_improb,sent_102
The floor was filled with stains while the cleaner mopped.,nonGP_prob,sent_103
The ceiling was filled with stains while the cleaner mopped.,nonGP_improb,sent_104
While the chef cooked the meal impressed the couple.,GP_prob,sent_105
While the chef cooked the cat impressed the couple.,GP_improb,sent_106
The meal impressed the couple while the chef cooked.,nonGP_prob,sent_107
The cat impressed the couple while the chef cooked.,nonGP_improb,sent_108
