,model,sentence,correct,txt,sent_type
0,Qwen/Qwen2.5-72B,While the secretary typed the memo neared completion.,True,"1. The secretary typed the memo.
2. The memo neared completion.",GP_prob
1,Qwen/Qwen2.5-72B,While the secretary typed the drawing neared completion.,True,"1. The secretary typed.
2. The drawing neared completion.",GP_prob
2,Qwen/Qwen2.5-72B,While the explorer paddled the canoe headed toward a waterfall.,True,"1. The explorer paddled the canoe.
2. The canoe was headed toward a waterfall.",GP_prob
3,Qwen/Qwen2.5-72B,While the explorer paddled the yacht headed toward a waterfall.,True,"1. The explorer paddled the yacht.
2. The yacht headed toward a waterfall.",GP_prob
4,Qwen/Qwen2.5-72B,While the cowboy rode the horse sweated profusely.,True,"1. The cowboy rode the horse.
2. The horse sweated profusely.",GP_prob
5,Qwen/Qwen2.5-72B,While the cowboy rode the leopard sweated profusely.,True,"1. The cowboy rode the leopard.
2. The leopard sweated profusely.",GP_prob
6,Qwen/Qwen2.5-72B,While Tom grilled the hot dog began to burn.,True,"1. Tom grilled the hot dog.
2. The hot dog began to burn.",GP_prob
7,Qwen/Qwen2.5-72B,While Tom grilled the barn began to burn.,True,"1. Tom grilled.
2. The barn began to burn.",GP_prob
8,Qwen/Qwen2.5-72B,While the architect drew the building represented modern times style.,True,"1. The architect drew the building.
2. The building represented modern times style.",GP_prob
9,Qwen/Qwen2.5-72B,While the architect drew the melody represented modern times style.,True,"1. The architect drew the melody.
2. The melody represented modern times style.",GP_prob
10,Qwen/Qwen2.5-72B,While the chef stirred the soup boiled over.,True,"1. The chef stirred the soup.
2. The soup boiled over.",GP_prob
11,Qwen/Qwen2.5-72B,While the chef stirred the acid boiled over.,True,"1. The chef stirred the acid.
2. The acid boiled over.",GP_prob
12,Qwen/Qwen2.5-72B,While the tourist explored the tunnel echoed with mysterious sounds.,True,"1. The tourist explored the tunnel.
2. The tunnel echoed with mysterious sounds.",GP_prob
13,Qwen/Qwen2.5-72B,While the tourist explored the trunk echoed with mysterious sounds.,True,"1. The tourist explored the trunk.
2. The trunk echoed with mysterious sounds.",GP_prob
14,Qwen/Qwen2.5-72B,While the woman drank the water spilled on the floor.,True,"1. The woman drank the water.
2. The water spilled on the floor.",GP_prob
15,Qwen/Qwen2.5-72B,While the woman drank the mud spilled on the floor.,True,"1. The woman drank the mud.
2. The mud spilled on the floor.",GP_prob
16,Qwen/Qwen2.5-72B,While the snake swallowed the frog kicked vigorously.,True,"1. The snake swallowed.
2. The frog kicked vigorously.",GP_prob
