sent_id,classification,sent_type,sentence,model_name
sent_1,partial misunderstanding,GP_prob,While the secretary typed the memo neared completion.,dall-e-3
sent_2,partial misunderstanding,GP_improb,While the secretary typed the drawing neared completion.,dall-e-3
sent_3,partial misunderstanding,nonGP_prob,The memo neared completion while the secretary typed.,dall-e-3
sent_4,correctly understood,nonGP_improb,The drawing neared completion while the secretary typed.,dall-e-3
sent_5,partial misunderstanding,GP_prob,While the explorer paddled the canoe headed toward a waterfall.,dall-e-3
sent_6,not applicable,GP_improb,While the explorer paddled the yacht headed toward a waterfall.,dall-e-3
sent_7,partial misunderstanding,nonGP_prob,The canoe headed toward a waterfall while the explorer paddled.,dall-e-3
sent_8,correctly understood,nonGP_improb,The yacht headed toward a waterfall while the explorer paddled.,dall-e-3
sent_9,partial misunderstanding,GP_prob,While the cowboy rode the horse sweated profusely.,dall-e-3
sent_10,partial misunderstanding,GP_improb,While the cowboy rode the leopard sweated profusely.,dall-e-3
sent_11,partial misunderstanding,nonGP_prob,The horse sweated profusely while the cowboy rode.,dall-e-3
sent_12,correctly understood,nonGP_improb,The leopard sweated profusely while the cowboy rode.,dall-e-3
sent_13,partial misunderstanding,GP_prob,While Tom grilled the hot dog began to burn.,dall-e-3
sent_14,correctly understood,GP_improb,While Tom grilled the barn began to burn.,dall-e-3
sent_15,partial misunderstanding,nonGP_prob,The hot dog began to burn while Tom grilled.,dall-e-3
sent_16,correctly understood,nonGP_improb,The barn began to burn while Tom grilled.,dall-e-3
sent_17,partial misunderstanding,GP_prob,While the architect drew the building represented modern times style.,dall-e-3
sent_18,partial misunderstanding,GP_improb,While the architect drew the melody represented modern times style.,dall-e-3
sent_19,correctly understood,nonGP_prob,The building represented modern times style while the architect drew.,dall-e-3
sent_20,complete misunderstanding,nonGP_improb,The melody represented modern times style while the architect drew.,dall-e-3
sent_21,partial misunderstanding,GP_prob,While the chef stirred the soup boiled over.,dall-e-3
sent_22,partial misunderstanding,GP_improb,While the chef stirred the acid boiled over.,dall-e-3
sent_23,partial misunderstanding,nonGP_prob,The soup boiled over while the chef stirred.,dall-e-3
sent_24,partial misunderstanding,nonGP_improb,The acid boiled over while the chef stirred.,dall-e-3
sent_25,partial misunderstanding,GP_prob,While the tourist explored the tunnel echoed with mysterious sounds.,dall-e-3
sent_26,partial misunderstanding,GP_improb,While the tourist explored the trunk echoed with mysterious sounds.,dall-e-3
sent_27,partial misunderstanding,nonGP_prob,The tunnel echoed with mysterious sounds while the tourist explored.,dall-e-3
sent_28,correctly understood,nonGP_improb,The trunk echoed with mysterious sounds while the tourist explored.,dall-e-3
sent_29,partial misunderstanding,GP_prob,While the woman drank the water spilled on the floor.,dall-e-3
sent_30,correctly understood,GP_improb,While the woman drank the mud spilled on the floor.,dall-e-3
sent_31,partial misunderstanding,nonGP_prob,The water spilled on the floor while the woman drank.,dall-e-3
sent_32,correctly understood,nonGP_improb,The mud spilled on the floor while the woman drank.,dall-e-3
sent_33,complete misunderstanding,GP_prob,While the snake swallowed the frog kicked vigorously.,dall-e-3
sent_34,complete misunderstanding,GP_improb,While the snake swallowed the hippo kicked vigorously.,dall-e-3
sent_35,partial misunderstanding,nonGP_prob,The frog kicked vigorously while the snake swallowed.,dall-e-3
sent_36,no image,nonGP_improb,The hippo kicked vigorously while the snake swallowed.,dall-e-3
sent_37,partial misunderstanding,GP_prob,While the lion attacked the baboon screamed in terror.,dall-e-3
sent_38,partial misunderstanding,GP_improb,While the lion attacked the penguin screamed in terror.,dall-e-3
sent_39,partial misunderstanding,nonGP_prob,The baboon screamed in terror while the lion attacked.,dall-e-3
sent_40,no image,nonGP_improb,The penguin screamed in terror while the lion attacked.,dall-e-3
sent_41,partial misunderstanding,GP_prob,While the maid dusted the picture tipped over.,dall-e-3
sent_42,correctly understood,GP_improb,While the maid dusted the cow tipped over.,dall-e-3
sent_43,partial misunderstanding,nonGP_prob,The picture tipped over while the maid dusted.,dall-e-3
sent_44,correctly understood,nonGP_improb,The cow tipped over while the maid dusted.,dall-e-3
sent_45,complete misunderstanding,GP_prob,While the teacher counted the children formed a line.,dall-e-3
sent_46,correctly understood,GP_improb,While the teacher counted the ants formed a line.,dall-e-3
sent_47,partial misunderstanding,nonGP_prob,The children formed a line while the teacher counted.,dall-e-3
sent_48,partial misunderstanding,nonGP_improb,The ants formed a line while the teacher counted.,dall-e-3
sent_49,partial misunderstanding,GP_prob,While the champion raced the challenger stumbled and fell.,dall-e-3
sent_50,partial misunderstanding,GP_improb,While the champion raced the spectator stumbled and fell.,dall-e-3
sent_51,partial misunderstanding,nonGP_prob,The challenger stumbled and fell while the champion raced.,dall-e-3
sent_52,correctly understood,nonGP_improb,The spectator stumbled and fell while the champion raced.,dall-e-3
sent_53,partial misunderstanding,GP_prob,While Jerry played the violin went out of tune.,dall-e-3
sent_54,correctly understood,GP_improb,While Jerry played the speakers went out of tune.,dall-e-3
sent_55,partial misunderstanding,nonGP_prob,The violin went out of tune while jerry played.,dall-e-3
sent_56,partial misunderstanding,nonGP_improb,The speakers went out of tune while jerry played.,dall-e-3
sent_57,partial misunderstanding,GP_prob,While the girl painted the rainbow slowly faded outside.,dall-e-3
sent_58,partial misunderstanding,GP_improb,While the girl painted the music slowly faded outside.,dall-e-3
sent_59,partial misunderstanding,nonGP_prob,The rainbow slowly faded outside while the girl painted.,dall-e-3
sent_60,correctly understood,nonGP_improb,The music slowly faded outside while the girl painted.,dall-e-3
sent_61,partial misunderstanding,GP_prob,While Kendra parked the van bumped the curb.,dall-e-3
sent_62,partial misunderstanding,GP_improb,While Kendra parked the horse bumped the curb.,dall-e-3
sent_63,complete misunderstanding,nonGP_prob,The van bumped the curb while Kendra parked.,dall-e-3
sent_64,complete misunderstanding,nonGP_improb,The horse bumped the curb while Kendra parked.,dall-e-3
sent_65,correctly understood,GP_prob,While Angela cleaned the dog stood in the yard.,dall-e-3
sent_66,complete misunderstanding,GP_improb,While Angela cleaned the mailman stood in the yard.,dall-e-3
sent_67,correctly understood,nonGP_prob,The dog stood in the yard while Angela cleaned.,dall-e-3
sent_68,correctly understood,nonGP_improb,The mailman stood in the yard while Angela cleaned.,dall-e-3
sent_69,partial misunderstanding,GP_prob,While the sailor smoked the pipe glowed brightly.,dall-e-3
sent_70,correctly understood,GP_improb,While the sailor smoked the firefly glowed brightly.,dall-e-3
sent_71,partial misunderstanding,nonGP_prob,The pipe glowed brightly while the sailor smoked.,dall-e-3
sent_72,correctly understood,nonGP_improb,The firefly glowed brightly while the sailor smoked.,dall-e-3
sent_73,partial misunderstanding,GP_prob,While the tourist filmed the dancer blocked the sidewalk.,dall-e-3
sent_74,partial misunderstanding,GP_improb,While the tourist filmed the trashbags blocked the sidewalk.,dall-e-3
sent_75,partial misunderstanding,nonGP_prob,The dancer blocked the sidewalk while the tourist filmed.,dall-e-3
sent_76,partial misunderstanding,nonGP_improb,The trashbags blocked the sidewalk while the tourist filmed.,dall-e-3
sent_77,partial misunderstanding,GP_prob,While the athlete wrestled the opponent shouted insults.,dall-e-3
sent_78,correctly understood,GP_improb,While the athlete wrestled the audience shouted insults.,dall-e-3
sent_79,partial misunderstanding,nonGP_prob,The opponent shouted insults while the athlete wrestled.,dall-e-3
sent_80,correctly understood,nonGP_improb,The audience shouted insults while the athlete wrestled.,dall-e-3
sent_81,complete misunderstanding,GP_prob,While the warrior fought the enemy retreated.,dall-e-3
sent_82,complete misunderstanding,GP_improb,While the warrior fought the rhino retreated.,dall-e-3
sent_83,complete misunderstanding,nonGP_prob,The enemy retreated while the warrior fought.,dall-e-3
