,model,sentence,correct,txt,sent_type
0,gpt-4,While the secretary typed the memo neared completion.,True,"Splitted: 
1. The secretary typed the memo. 
2. The memo neared completion.",GP_prob
1,gpt-4,While the secretary typed the drawing neared completion.,True,"Splitted: 
1. The secretary typed.
2. The drawing neared completion.",GP_improb
2,gpt-4,While the explorer paddled the canoe headed toward a waterfall.,True,"Splitted: 
1. The explorer paddled the canoe. 
2. The canoe was headed toward a waterfall.",GP_prob
3,gpt-4,While the explorer paddled the yacht headed toward a waterfall.,True,"Splitted:
1. The explorer paddled the yacht.
2. The yacht headed toward a waterfall.",GP_improb
4,gpt-4,While the cowboy rode the horse sweated profusely.,True,"Splitted: 
1. The cowboy rode the horse. 
2. The horse sweated profusely.",GP_prob
5,gpt-4,While the cowboy rode the leopard sweated profusely.,True,"Splitted: 
1. The cowboy rode. 
2. The leopard sweated profusely.",GP_improb
6,gpt-4,While Tom grilled the hot dog began to burn.,True,"Splitted: 
1. Tom grilled the hot dog. 
2. The hot dog began to burn.",GP_prob
7,gpt-4,While Tom grilled the barn began to burn.,True,"Splitted: 
1. Tom grilled. 
2. The barn began to burn.",GP_improb
8,gpt-4,While the architect drew the building represented modern times style.,True,"Splitted: 
1. The architect drew the building.
2. The building represented modern times style.",GP_prob
9,gpt-4,While the architect drew the melody represented modern times style.,True,"Splitted: 
1. The architect drew.
2. The melody represented modern times style.",GP_improb
10,gpt-4,While the chef stirred the soup boiled over.,True,"Splitted: 
1. The chef stirred.
2. The soup boiled over.",GP_prob
11,gpt-4,While the chef stirred the acid boiled over.,True,"Splitted: 
1. The chef stirred.
2. The acid boiled over.",GP_improb
12,gpt-4,While the tourist explored the tunnel echoed with mysterious sounds.,True,"Splitted: 
1. The tourist explored the tunnel. 
2. The tunnel echoed with mysterious sounds.",GP_prob
13,gpt-4,While the tourist explored the trunk echoed with mysterious sounds.,True,"Splitted: 
1. The tourist explored the trunk. 
2. The trunk echoed with mysterious sounds.",GP_improb
14,gpt-4,While the woman drank the water spilled on the floor.,True,"Splitted: 
1. The woman drank.
2. The water spilled on the floor.",GP_prob
15,gpt-4,While the woman drank the mud spilled on the floor.,True,"Splitted: 
1. The woman drank. 
2. The mud spilled on the floor.",GP_improb
16,gpt-4,While the snake swallowed the frog kicked vigorously.,True,"Splitted: 
1. The snake swallowed. 
2. The frog kicked vigorously.",GP_prob
17,gpt-4,While the snake swallowed the hippo kicked vigorously.,True,"Splitted: 
1. The snake swallowed.
2. The hippo kicked vigorously.",GP_improb
18,gpt-4,While the lion attacked the baboon screamed in terror.,True,"Splitted: 
1. The lion attacked.
2. The baboon screamed in terror.",GP_prob
19,gpt-4,While the lion attacked the penguin screamed in terror.,True,"Splitted: 
1. The lion attacked.
2. The penguin screamed in terror.",GP_improb
20,gpt-4,While the maid dusted the picture tipped over.,True,"Splitted: 
1. The maid dusted.
2. The picture tipped over.",GP_prob
21,gpt-4,While the maid dusted the cow tipped over.,True,"Splitted: 
1. The maid dusted.
2. The cow tipped over.",GP_improb
22,gpt-4,While the teacher counted the children formed a line.,True,"Splitted: 
1. The teacher counted. 
2. The children formed a line.",GP_prob
23,gpt-4,While the teacher counted the ants formed a line.,True,"Splitted: 
1. The teacher was counting. 
2. The ants formed a line.",GP_improb
24,gpt-4,While the champion raced the challenger stumbled and fell.,True,"Splitted:
1. The champion raced.
2. The challenger stumbled and fell.",GP_prob
25,gpt-4,While the champion raced the spectator stumbled and fell.,True,"Splitted: 
1. The champion raced. 
2. The spectator stumbled and fell.",GP_improb
26,gpt-4,While Jerry played the violin went out of tune.,True,"Splitted: 
1. Jerry played the violin. 
2. The violin went out of tune.",GP_prob
27,gpt-4,While Jerry played the speakers went out of tune.,True,"Splitted: 
1. Jerry was playing. 
2. The speakers went out of tune.",GP_improb
28,gpt-4,While the girl painted the rainbow slowly faded outside.,True,"Splitted: 
1. The girl painted.
2. The rainbow slowly faded outside.",GP_prob
